-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1686.0;1652.6858960942536;1592.9041087415155;1555.7475548054729;1529.4579765789783;
Cascais;2860.1462998055117;2817.8797653637753;2855.591870599559;2506.1848630940517;2410.2505804644634;
Lisboa;3015.0;3031.750271126972;2923.7608979374068;2862.5662544368447;2853.3698606939315;
Loures;1655.2890862033614;1688.7523034397664;1580.1164431498653;1538.215405611343;1510.3231311455063;
Mafra;1614.498398274062;1578.8858793333068;1514.9271494907;1509.531611697042;1522.6606448299226;
Odivelas;2048.8925103718775;1938.2978664315567;1943.108896844991;1789.2019624957366;1740.616008912876;
Oeiras;2662.4663930232955;2978.1092139506727;4257.174993621539;5719.89580082959;6156.461591724078;
Sintra;1896.4696556545528;2231.807521415865;2586.866010173487;3023.325438231593;2969.198947342505;
VilaFrancaDeXira;1769.318365189723;1395.446378216297;1403.7523776250275;1271.9502478887678;1257.975709313052;
Alcochete;1417.319702568052;1395.6624;1340.6677327470238;1307.4185026410314;1262.212057323768;
Almada;1735.47;1718.1153000000002;1731.6416785746233;1611.801694239281;1569.5279597155297;
Barreiro;1251.4977381689082;1207.051956;1209.8174596047788;1264.609246590158;1343.189396135756;
Moita;995.2776116138566;971.050313069176;940.0115312870429;908.9035240115012;881.9081804448357;
Montijo;1364.0;1336.8564000000001;1292.3518387180095;1258.623763199683;1221.2413788088893;
Palmela;1484.4424851659242;1341.9150389898316;1219.0057941003565;1183.4180659353083;1152.300333230968;
Seixal;1526.4776429127521;1511.964424973512;2844.602159475763;1579.6854039367076;2466.431786183667;
Sesimbra;1591.4494380090282;1565.7390821805475;1479.0653147089713;1472.913519195441;1456.782786555416;
Setubal;1392.467405376498;1289.3786912638604;1293.164853584637;1280.1994201730993;1263.2433864965574;
