-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1686.0;1654.8106039397583;1596.7225906854674;1548.4687641747614;1533.9437934255106;
Cascais;2799.9166459732132;2829.006121920049;2550.918205368849;2543.560507821542;3340.6828755152746;
Lisboa;2990.2723825473477;3073.1655594173017;2866.185915111218;2962.613980930539;2671.9238225764398;
Loures;1667.0;1675.5883085486998;1585.3004131833;1548.5465116883543;1510.5968000747819;
Mafra;1606.974577464587;1571.5417668098612;1517.8488099691576;1527.7166212411612;1426.273839034135;
Odivelas;2044.8331072344276;1951.6891152599026;1946.1718795081927;1789.201962495737;1764.71413832413;
Oeiras;2682.3815517974635;3603.5954942154153;4622.029747684568;6175.541902766734;5275.189186928725;
Sintra;1897.1426065614596;2303.910842634234;2745.7331209893923;2860.370085931769;2946.892918246971;
VilaFrancaDeXira;1756.3562653181955;1411.4502004730664;1307.6113186125;1269.7764640239438;1268.5810779907877;
Alcochete;1416.88;1457.8708284312593;1347.4387819023118;1300.8485604167045;0;
Almada;1735.47;1712.3717700830925;1688.3647051916714;1617.5714493321439;1567.4742124152276;
Barreiro;1277.3094075324016;1218.9777917623792;1233.1806797658796;1338.5478940067978;1212.7586083238702;
Moita;1001.1500921580425;971.2153912038312;943.6587710114125;908.9035240115012;881.9081804448357;
Montijo;1382.435997576497;1323.4878359999998;1297.1504280635997;1258.623763199683;1222.96333760635;
Palmela;1425.5934241260734;1328.389670371886;1211.684952279087;1187.4807119769218;1148.0969429169224;
Seixal;1518.004861266224;1520.5201420088601;2722.741510236906;1457.8284068866221;2432.100805171507;
Sesimbra;1586.3721648308192;1539.7371;1479.0653147089713;1476.4608830358807;1436.6688486110515;
Setubal;1391.3727886568718;1293.0515041135945;1260.2864011457018;1251.1306561199965;1238.7389454572512;
