-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1741,1937,2007,2028,
Cascais,2792,2867,2954,2891,
Lisboa,3443,3739,3801,3810,
Loures,1956,2118,2158,2103,
Mafra,1585,1682,1720,1773,
Odivelas,2036,2047,2133,2100,
Oeiras,2439,2552,2544,2586,
Sintra,1441,1577,1607,1648,
VilaFrancaDeXira,1520,1632,1577,1733,
Alcochete,1572,1687,1728,2100,
Almada,1810,2029,2039,2234,
Barreiro,1164,1350,1370,1334,
Moita,1053,1165,1217,1277,
Montijo,1364,1467,1431,1458,
Palmela,1227,1345,1321,1540,
Seixal,1433,1573,1674,1953,
Sesimbra,1478,1526,1538,1528,
Setubal,1380,1480,1482,1537,
