-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1686.0;1652.6471956048697;1594.5258312762517;1542.4919495025706;1534.8574326308226;
Cascais;2731.7369304157614;2927.531265800068;2534.464562187492;2531.9017668895035;2410.2505804644647;
Lisboa;2990.2723825473477;3071.9983959300494;2862.23426166182;2957.556668462365;2672.616234095987;
Loures;1661.7271625391609;1661.2985058125453;1583.3306396681241;1539.628367304032;1492.5288698492802;
Mafra;1593.0;1567.275729482485;1515.4996447942117;1518.3213543329766;1473.7308277543075;
Odivelas;1966.5658963457283;1955.478118068846;1979.9596093749794;1789.201962495737;1759.7566156929952;
Oeiras;2671.7834611785997;3225.748445354226;4557.814210670836;6352.399430671916;7242.6079638158835;
Sintra;1895.9440517043263;2260.8417946308573;2503.4931050055966;2664.8648879494867;2814.905398218637;
VilaFrancaDeXira;1699.769439787403;1384.1736091934054;1315.9617410712276;1280.6180563692565;1265.1999964806867;
Alcochete;1424.0;1381.705776;1354.2098310575998;1313.9884448653584;0;
Almada;1776.1787208486846;1700.9341469999997;1667.0855574747002;1601.3957348388221;1553.8326801183746;
Barreiro;1258.4537417468762;1209.904195026495;1221.8834267262084;1299.9671267730723;1287.7073783444418;
Moita;993.6887697191248;968.1215956683839;937.394638832905;908.9035240115012;881.9081804448357;
Montijo;1365.485637739699;1336.8564;1285.2847710872059;1256.737398660202;1221.2413788088888;
Palmela;1347.7609120204884;1299.8110669788946;1208.8492988028302;1187.572421728733;1149.9202864369126;
Seixal;1512.2509145213055;1505.4821598614512;1785.2479532889984;1403.2756798273613;2418.9591397709855;
Sesimbra;1579.1505891363815;1540.9320706789529;1494.0053683929002;1454.3165056162525;1406.5763974404435;
Setubal;1382.1454133445875;1281.540779448961;1261.5272650989982;1255.4601878295518;1234.9889106842559;
