-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1409.1677266475558;1501.7946151678036;1535.908758916755;1600.223673646916;1200.998580872085;
Cascais;3430.8331022977186;4442.043141622796;2110.2320209208065;1846.939825424773;4142.56656276422;
Lisboa;4446.598794380006;4020.116340392149;4363.431665639384;4296.245561100228;4320.938208432604;
Loures;1819.5628335431466;1423.9004553289476;1890.474152204616;1837.5565344863005;1818.704455427031;
Mafra;1931.0463619136683;1493.0354826906428;1581.7507780591047;1093.807253596572;1470.2051368442005;
Odivelas;1975.7956173568011;1928.6131281502205;2006.559060737314;1390.6736754810918;1974.5355028289152;
Oeiras;1816.3252928387622;2166.731094361;2283.923612167378;2105.543576751048;1960.4914899837293;
Sintra;1410.1550389170113;1147.9543474763154;1409.8472606055198;1540.4979182594725;1752.2379028167468;
VilaFrancaDeXira;1907.2331816372312;1021.907982346775;993.8287825290006;991.6013291749161;943.974077499365;
Alcochete;1111.860420828763;1096.2483606649926;0;0;0;
Almada;1315.9401733268173;1109.6927082600052;1319.2989820062924;1111.2818744693552;966.3955654160039;
Barreiro;908.7241761286656;1210.2285549086719;912.0197919654415;1543.070640962597;0;
Moita;975.4100395965618;1043.0047352083363;1021.0951981781541;940.5020513318093;994.5762691223997;
Montijo;1071.5307942961913;1461.8755738536267;1403.5617047462906;1351.7782317577094;810.6230850645792;
Palmela;879.3240822933478;1157.4032895802766;910.3172231066765;948.6370923787663;912.0609298247352;
Seixal;1140.95549001008;1144.4425654550244;1730.950598339701;1735.739324916577;1578.4276838129372;
Sesimbra;1349.5707043375505;1370.0370455990594;1334.2632912359434;1332.1247146447715;1292.9975055906825;
Setubal;1259.6504724518231;1174.6261973035557;1149.4594048967615;1139.0760841682302;1126.8057989329652;
