-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;
Amadora;0;1686.0;0;0;0;0;1392.9202997867994;1630.293950174603;
Cascais;0;2612.044908;2560.0652143308;2484.0287173999604;2410.250580464464;2315.2770906943483;2269.2030765895306;1564.2609177707736;
Lisboa;0;2925.451485;2926.6902844199194;2780.1811137911195;2739.9929010134156;2606.1722823709774;2541.4737280525396;1918.3467805865268;
Loures;1650.3300000000002;1617.488433;1569.4474090514668;1547.2743863462365;1513.113403635625;1433.7172771870278;1388.2215892601882;1435.411854439171;
Mafra;1577.07;1545.6863070000002;1545.73835031;1544.3856917123398;1426.273839034135;1370.0729589435725;1329.3804219899896;1316.0866177700898;
Odivelas;1919.6100000000001;1881.4097610000001;1825.530009688539;1771.3099428707797;1718.7002662575746;1667.6531496494583;1601.9409616172024;1570.06233648102;
Oeiras;0;2411.193015;2375.2256506607473;2270.090359996848;2224.9155618329096;2158.8333447309105;2174.5019959307647;2023.180414733793;
Sintra;1563.0576171693992;1500.5331;1455.9657663968999;1422.7879586747458;1370.7628672700946;1330.0498393493053;1312.2703193633133;1272.5974046383835;
VilaFrancaDeXira;1377.6193171124503;1341.793067459256;1294.535205426375;1268.77395483839;1231.0900996057348;1182.5802376317715;1159.0468909028993;1124.6220391961924;
Alcochete;0;0;1347.4387819023118;0;0;0;0;1218.5994815241486;
Almada;0;1911.6230100498192;1911.6230100498192;1738.9442787198775;1560.2468843668719;1507.6822956861788;1477.679418002024;1508.235294117647;
Barreiro;0;1207.051956;0;1131.2384390435905;1147.8943998683326;0;0;0;
Moita;1014.4821114210081;955.744515;936.7251991515001;966.2758394989984;966.2758394989983;928.7950209334371;0;963.7114638769949;
Montijo;1364.0;1310.25295764;1290.1078232789762;1246.0375255676859;1215.2579128413008;1173.1195957307173;1138.2767706179193;1115.6250628826228;
Palmela;1287.0;1236.2870648700002;1211.684952279087;1181.6345596200895;1129.369556599672;1106.8951024233386;1084.8678898851138;1031.6985687367523;
Seixal;1480.0;1450.548;1531.22686873022;1421.8213926527728;1332.2635353766846;1285.743802898088;1247.5559262082115;1374.0710325205816;
Sesimbra;1606.2123498869264;1595.2457142313501;1557.678615250884;1449.6319149462622;1541.4361217236915;1530.7915414332444;1418.2573134963186;1284.931798965249;
Setubal;1352.1784719645532;1261.3887;1236.28706487;1193.5702622425147;1236.1077400859217;1208.837410388314;1214.7488235736703;1188.6073024320538;
