-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1714.5806825549748;1659.561571063564;1603.3692241313997;1623.9989513416167;1566.709042448447;
Cascais;2692.0;2705.156827683167;2586.119745967698;4142.530470824385;2386.1480746598186;
Lisboa;3083.099689249416;3137.4533227350526;2924.7070664720227;2817.2928686719565;2713.7895791541623;
Loures;1686.9214671429463;1655.8383452010414;1598.1232027305027;1558.3821951465493;1503.8116137232496;
Mafra;1642.7299090902084;1581.3833917987433;1688.3760823450368;1724.2865005298113;1808.1035009056084;
Odivelas;2068.4839066777677;2003.8105197829493;1872.1147140328735;1865.387754823604;1938.266889009557;
Oeiras;2748.795522739111;4047.6870387854487;5551.080891770925;5713.411888934794;8190.168999628251;
Sintra;2377.873937758563;3116.0813458768885;4171.187664182649;3693.2559369207484;4621.024300783831;
VilaFrancaDeXira;1447.3871779600377;1367.6028310829975;1348.3970400735946;1341.1859817373927;1535.9891624789652;
Alcochete;1424.0;1395.6624;1340.6677327470238;1313.9884448653581;1274.961674064412;
Almada;1753.0;1768.1288794551003;1863.3505364911312;1599.1117610140425;1564.7866788163215;
Barreiro;1262.8123210508231;1233.0862688199913;1264.2504455107605;1323.8664050919392;1394.2026397129614;
Moita;1104.3629965766033;966.3609060080157;944.9587800757611;917.3277011422437;881.9081804448357;
Montijo;1414.1385663695924;1337.191521062853;1297.1504280635997;1270.072274467715;1260.81626805061;
Palmela;1386.2084831286281;1263.546290143299;1223.9241942213002;1188.7941888809073;1163.8851661654016;
Seixal;1734.8466568980484;2818.8125082281445;3028.6103493023297;1630.248079773535;2742.0721402400013;
Sesimbra;1695.7087228301793;1552.5309091415654;1494.0053683929002;1470.533485541822;1444.7857060281478;
Setubal;1560.8512165544105;1334.6280122292778;1297.6557237959796;1311.9978618070575;1304.301398360777;
