-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;3188.902420394774;2661.306037889302;2551.7522999002704;2470.751756458817;2421.1697018716836;
Cascais;3759.7474375201505;7750.403121367657;4194.85390343694;4750.714456642019;4503.036065669756;
Lisboa;3226.206700212107;2970.0087232894753;2842.071828714519;2927.5299913116773;3185.2022746897746;
Loures;2706.895368390224;1766.6747305169617;1624.4827640685044;1567.4283530285645;1499.243515084047;
Mafra;2410.3362959219203;2856.560232355501;3130.4785442307666;3379.0725122521094;1455.7332398507363;
Odivelas;2633.0270491267843;2760.846123537114;2829.1769265539397;2857.68503276415;2941.415817597133;
Oeiras;3101.802098195345;6050.810046706952;5745.789134586476;4440.267546367811;9310.633604237399;
Sintra;3917.6221652843988;4571.091805702079;4912.803940861986;5650.834846174034;5758.218846467427;
VilaFrancaDeXira;1768.1202462041617;1467.131386674138;1589.9299826234371;1505.0625434277658;1460.4390310226972;
Alcochete;2096.6742883795573;2216.2501859423137;0;0;0;
Almada;2510.7626819578973;2156.6914994234508;2939.063561967221;1617.5714493321434;2569.166003204711;
Barreiro;2722.4218074197806;3077.1814261214254;3262.1721941854184;3302.479879241757;3419.289939809588;
Moita;1702.1059248007907;965.3984999999999;936.7251991514999;923.4579690712741;886.0769136411261;
Montijo;1802.17724553779;1348.0344830933427;1423.4589693324813;1261.7521606378905;1221.2413788088888;
Palmela;1745.5555996004603;2125.9653552797517;2205.123111772748;2013.8334578459478;1961.6721466075637;
Seixal;2464.1540132561245;1884.7175112560676;2632.7176143083834;5573.155497558594;5701.756160749323;
Sesimbra;2230.7642255886453;1539.7371;1494.0053683929002;1449.744594055528;1406.5763974404435;
Setubal;2088.015390073324;1735.2104981210903;1770.2151824364691;1718.9862084270042;1537.83970226466;
