-,2021Q1,
Amadora,1684,
Cascais,3312,
Lisboa,3898,
Loures,2085,
Mafra,1915,
Odivelas,2348,
Oeiras,3254,
Sintra,1745,
VilaFrancaDeXira,1658,
Alcochete,2383,
Almada,2008,
Barreiro,1586,
Moita,1269,
Montijo,1602,
Palmela,1514,
Seixal,1827,
Sesimbra,1322,
Setubal,2062,
