-,2021Q1,
Amadora,6,
Cascais,0,
Lisboa,4,
Loures,6,
Mafra,1,
Odivelas,4,
Oeiras,2,
Sintra,13,
VilaFrancaDeXira,5,
Alcochete,3,
Almada,6,
Barreiro,3,
Moita,2,
Montijo,7,
Palmela,2,
Seixal,3,
Sesimbra,0,
Setubal,5,
