-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,1526.8807995723155,1586.3071907413191,1484.9231407945097,1484.9416940687174,1821.3839141534695,1864.7539695213948,1631.2842561745629,1736.3299754536642,1728.3368424512937,1730.0853392889376,1678.6081226851152,1889.6775087822978,1844.0751802428904,1712.4488504114106,1588.7140437602827,1665.7898819195034,1831.6263221761005,1857.5213271170937,1791.0992612306534,1800.994918007776,1813.1605828789588,1869.1414828588713,1829.1210410469469,1834.638400785762,1588.2381072995086,1774.910897075134,1716.4000551022782,1675.588807778333,1717.29920099506,1748.0145445520516,1455.6309765568046,1803.2048234988902,1794.348936040364,1834.8448875875065,1768.4192454176873,1516.8155162764806,1798.0464881619891,1648.015237604824,1827.360982456829,1573.7940098567406,
Cascais,1834.7173067994343,1914.8468352042416,1791.8253496163381,1902.5502312238768,1908.4328036997913,1890.3087333686194,2043.3818473301224,2068.4935726379454,2033.2243051284584,2266.528520124556,2086.716119855366,1993.8979603441828,2081.9503027466803,2026.9473478340947,2020.6654261120586,2151.780874800569,2080.4185458892707,2258.64482617073,2118.747277470131,2268.3930963082953,2288.643203944893,2311.385628025488,2372.4140414640196,2482.6266933092656,2439.526153570377,2504.183079667945,2595.529366535515,2535.9167212478665,2552.236299723655,2543.959907091931,2502.37558144311,2542.1872578826874,2526.1007764992537,2614.091550858056,2400.3160058812637,2512.815610826945,2693.287509767102,2583.8923549683605,2641.3337852429095,2711.30929163432,
Lisboa,2120.737052492944,1975.9067357128488,1801.564379573064,1855.8327039071432,2151.070458117984,1801.0409999921408,1853.592249397424,1528.170644336349,1717.1244023936536,1649.0958731884489,1687.1936004835402,1503.8760199080116,1529.1933822961164,1460.9985120799004,1506.99549153919,1418.7793318315025,1574.35540639197,1434.6088545242787,1452.242817225262,1413.310163187577,1344.9903186821537,1767.4839243956862,1204.2485272891054,1251.266180298973,1213.1588867909127,1310.436146742646,1292.9185378440243,1045.3579030499113,1146.7134609409406,1332.873576120125,1267.2576197116489,950.8548025387008,1027.9713419715574,875.9782179868364,1060.4980966670678,1277.5559942580435,1588.3903880698624,1093.0896847524323,1180.9071373772533,988.6610945630213,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,2480.591429836906,0,0,0,0,0,0,0,2664.9999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,3056.1909301391192,0,0,3056.1909301391192,2468.2,0,0,0,0,3366.1331169881278,0,2851.496379811938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,3825.476444495337,0,0,0,0,0,0,0,3426.9567633136785,2525.5212701393825,0,0,0,0,0,2702.923362841666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,2684.756464013975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,2802.813702125159,3028.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almada,0,0,0,0,0,0,0,0,0,2455.399961124265,0,0,0,0,3168.1321492548855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barreiro,2517.4000000000005,0,0,0,0,0,0,0,0,0,0,0,0,2960.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2878.2000000000003,1686.5445312276108,0,0,0,2111.858118028041,3091.4,1523.039079739068,3501.4,2683.7951068944312,2794.8241107825206,2104.162815001404,3526.0,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.4000000000005,0,0,2435.4,0,0,3468.6000000000004,2829.0000000000005,2240.425815931497,2411.3977732835097,2763.4000000000005,2604.8666666666672,2724.725245752568,2747.0,
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Palmela,2963.0699999999993,0,0,2714.2,0,0,0,0,2573.406,2779.7999999999997,3025.7999999999997,0,3971.504123059453,0,0,2994.4349999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seixal,0,0,3845.6681693132923,0,0,0,3749.71140201681,0,0,0,2673.352076205563,3222.8535347052757,0,3124.2,0,3109.819731537877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3073.9951533524145,3732.7546254641643,0,3830.5818626547034,2602.7942601121263,2499.0752013485317,
Setubal,0,0,0,0,0,0,0,2435.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
