-,2021Q1,
Amadora,204,
Cascais,168,
Lisboa,516,
Loures,180,
Mafra,76,
Odivelas,124,
Oeiras,156,
Sintra,427,
VilaFrancaDeXira,132,
Alcochete,14,
Almada,194,
Barreiro,91,
Moita,75,
Montijo,54,
Palmela,75,
Seixal,179,
Sesimbra,37,
Setubal,130,
