-,2021Q1,
Amadora,11.514463257247513,
Cascais,13.292470158206136,
Lisboa,15.583013222474953,
Loures,10.000009529729141,
Mafra,9.24913023213874,
Odivelas,10.720783341231218,
Oeiras,14.19634965371208,
Sintra,9.257487821291756,
VilaFrancaDeXira,9.230836643074142,
Alcochete,7.063379336359926,
Almada,11.208523086964792,
Barreiro,9.018242398695843,
Moita,7.672110379071755,
Montijo,7.445611950840917,
Palmela,7.49716763189704,
Seixal,9.104282174235971,
Sesimbra,8.081301492881948,
Setubal,8.385848432352415,
