-,2021Q1,
Amadora,1509,
Cascais,2582,
Lisboa,3135,
Loures,1679,
Mafra,1417,
Odivelas,1895,
Oeiras,2327,
Sintra,1288,
VilaFrancaDeXira,1322,
Alcochete,1813,
Almada,1642,
Barreiro,1090,
Moita,881,
Montijo,1212,
Palmela,1025,
Seixal,1273,
Sesimbra,1221,
Setubal,1240,
