-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,851,79,27,25,16,15,13,10,16,3,3,11,
Cascais,738,65,11,12,27,19,16,5,5,1,3,2,
Lisboa,3015,102,47,34,29,33,34,16,11,16,12,13,
Loures,879,75,33,32,26,28,14,10,10,8,8,14,
Mafra,251,14,6,6,4,2,7,5,3,1,1,4,
Odivelas,505,68,29,17,22,24,19,22,4,5,5,10,
Oeiras,642,62,32,16,19,22,11,8,3,9,5,1,
Sintra,1389,114,57,41,42,39,44,20,21,13,11,8,
VilaFrancaDeXira,462,52,17,13,18,22,19,2,3,5,2,4,
Alcochete,63,3,3,1,1,3,0,1,0,0,0,1,
Almada,716,64,20,24,19,14,16,12,13,5,1,4,
Barreiro,314,36,6,6,7,1,3,2,4,6,1,1,
Moita,292,36,9,7,3,2,3,1,4,6,0,1,
Montijo,225,14,11,8,8,4,5,2,5,6,3,6,
Palmela,220,27,5,3,2,6,3,1,2,3,1,0,
Seixal,436,29,10,23,12,17,15,29,6,4,3,9,
Sesimbra,127,8,4,5,3,4,5,2,3,4,2,4,
Setubal,425,31,16,11,6,3,12,16,2,11,0,2,
