-,2021,2022,2023,
Amadora,15599,858,524,
Cascais,13121,1064,175,
Lisboa,50800,1779,826,
Loures,16187,1239,635,
Mafra,4400,286,143,
Odivelas,9833,1382,381,
Oeiras,11945,953,286,
Sintra,25432,2303,842,
VilaFrancaDeXira,8641,969,222,
Alcochete,1112,79,16,
Almada,13089,969,365,
Barreiro,5750,207,191,
Moita,5464,143,175,
Montijo,4098,302,318,
Palmela,4051,191,95,
Seixal,7911,1160,349,
Sesimbra,2287,222,207,
Setubal,7672,588,238,
