-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.110492616528123,10.206541376506818,12.279706725513837,11.417951135923108,11.583275999946542,11.683228092299276,
Cascais,10.502396041931801,12.275648107188928,15.699131579687275,14.411526460784598,15.135812371917346,13.686416732673266,
Lisboa,11.755555010777417,16.71434797114508,17.543896557712287,19.1902956417458,16.740129615454588,18.472237940201314,
Loures,7.978160513966561,8.514246635447495,10.326251912861446,10.081150632648534,12.48885852287194,10.643706746068645,
Mafra,7.145955708537938,8.185366225568421,7.425892958985834,11.283822890511646,11.05485927170135,10.507176492558072,
Odivelas,8.183447898399308,8.631035859816853,12.310819528349468,11.864053299269994,12.019677947695037,12.182829869116187,
Oeiras,9.960681183988305,11.844075121333836,13.33083366248064,12.206436323511891,13.515484578817802,12.062875678015834,
Sintra,7.440179595792314,7.429014106759647,8.180431571609486,9.554353881318221,8.181832937369808,8.308227643493382,
VilaFrancaDeXira,6.952464532177443,6.966968606292856,6.5705915569311735,8.872744009838582,7.057963804928274,11.091466177650982,
Alcochete,6.020234617554829,6.815389289858822,9.769822648175149,10.017302920263678,10.683188234300122,0,
Almada,8.753587186289694,8.295145555349178,12.318907909642546,11.226724043052899,12.477700547823819,11.014539487862368,
Barreiro,6.941971974396131,6.994409990451561,6.196756979633792,7.723422848223762,8.864780827466848,9.253628181286476,
Moita,5.720003175005996,5.195197170239718,5.677034118737778,7.488965413767878,6.422516612024128,10.016001280565442,
Montijo,6.512534457751572,6.252984389412834,7.457238437217685,8.036112549904592,11.125365280101194,8.729353089523318,
Palmela,6.107850742961204,6.279922833661196,8.386052439391834,6.378454272376854,7.65720332690827,8.575854142823852,
Seixal,7.054927665665804,7.310779912128669,7.863787609840327,10.83556286918044,8.588002997362535,9.73860086230567,
Sesimbra,6.22115726014189,5.472432058274458,4.623678836016446,8.376397964814869,7.383220465130522,8.398199287742045,
Setubal,6.823322774314775,6.434418443789389,7.436342328621309,8.580672217205157,9.778941292912013,8.040769175666686,
