-,2021Q1,
Amadora,409,
Cascais,293,
Lisboa,985,
Loures,395,
Mafra,149,
Odivelas,254,
Oeiras,303,
Sintra,923,
VilaFrancaDeXira,331,
Alcochete,28,
Almada,407,
Barreiro,226,
Moita,167,
Montijo,135,
Palmela,145,
Seixal,364,
Sesimbra,85,
Setubal,277,
