-,2021Q1,
Amadora,1761,
Cascais,2568,
Lisboa,3078,
Loures,1865,
Mafra,1639,
Odivelas,2081,
Oeiras,2400,
Sintra,1466,
VilaFrancaDeXira,1427,
Alcochete,1499,
Almada,1863,
Barreiro,1185,
Moita,1002,
Montijo,1428,
Palmela,1222,
Seixal,1398,
Sesimbra,1424,
Setubal,1402,
