-,2021Q1,
Amadora,10.324795747995827,
Cascais,11.727534569760362,
Lisboa,13.46019950845686,
Loures,9.31655427649771,
Mafra,8.765435151440846,
Odivelas,9.012479005652608,
Oeiras,11.274595154097954,
Sintra,8.701644547186417,
VilaFrancaDeXira,7.945568001441749,
Alcochete,7.275413815640832,
Almada,9.70264779986629,
Barreiro,8.187646699807438,
Moita,6.6733016447583235,
Montijo,7.318712886299534,
Palmela,7.337956448721336,
Seixal,7.759115976816037,
Sesimbra,6.414043295507155,
Setubal,7.815625086065886,
