-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;926.3740606794674;2361.8480164302287;2728.7160494755026;1002.4429664450661;0;
Cascais;2137.9514516132826;2728.283986140412;2594.6123647199834;0;2319.380997626718;
Lisboa;2104.955495668424;2242.1266564538955;0;4020.883904371278;3250.5750302702995;
Loures;2074.7699173202955;1344.482000949816;1886.6582568870142;1881.9390135917615;0;
Mafra;1822.9354349975301;0;0;1058.4901858751339;0;
Odivelas;1993.110925267822;1567.6846093168278;2210.045869712671;1924.1982444055047;0;
Oeiras;2513.3550141186297;1957.9696651627783;0;2196.384095033985;0;
Sintra;1493.0514162895754;1199.699257656378;1062.9136896975115;1349.655997471861;1325.328262672088;
VilaFrancaDeXira;1398.6714019159508;1088.9977429554494;918.0748306110855;0;840.182562527715;
Alcochete;0;0;0;0;0;
Almada;948.4048437295194;989.2249069049135;0;0;0;
Barreiro;1171.61173093528;0;0;0;0;
Moita;831.9594774673997;745.5924722473673;1091.5381849996195;544.8322530449518;0;
Montijo;1286.388400715367;1056.5928758840682;0;0;0;
Palmela;1265.7963379675803;1330.0580689821097;0;0;0;
Seixal;1794.2715678811987;1445.575326576273;1599.3151951935913;1449.7981877276932;1511.1453784425144;
Sesimbra;0;0;1887.8927267676365;885.5210059661651;0;
Setubal;1075.1293118118292;0;824.1058285707599;877.9960834917443;959.2552662819699;
