-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,9.743332892400694,9.513849562692975,9.174212205020597,9.241752180026944,9.308636189829718,8.967666250609671,7.656110913361185,10.896697756975945,11.310066231285328,13.98209434737681,15.944783185981645,12.995524695057366,
Cascais,11.7830815294008,11.677902260723473,11.718000133087177,12.185159593156143,13.816238548642808,15.979276653335752,19.989738880130922,18.65007659995008,21.682693692683078,15.16500303360653,21.90837103024613,24.895806482546334,
Lisboa,12.061217905141417,11.120212918558668,11.428943503894342,11.600967161473992,12.462139607331801,12.20867701081665,17.12314431619077,15.571383869538401,13.97510307071319,19.296567051785217,15.631448255791142,19.283735361230786,
Loures,8.491680816453758,7.834484125665458,8.301223185844842,8.50016536720329,10.799392729516407,6.620657564258785,10.176005310912737,13.655876593673304,11.74881939952412,14.632461240750613,13.327400982117183,0,
Mafra,7.923942620024732,7.323539535569772,7.305768526172543,7.301451141079752,6.30577738441213,10.345374171552331,6.4844549308024355,5.804055261410438,11.080120398059808,8.114033772727202,8.671633586095925,9.622971020215221,
Odivelas,9.187982168125217,8.424285169967455,8.843174946762403,8.728627224353803,10.460772735164849,8.628579611990327,10.050984752477483,8.132640847742284,15.707409004174465,10.235596118195458,11.829698917148784,11.945826023850564,
Oeiras,8.533610409919616,8.0937072241604,7.675439509333378,7.377129921404161,8.535609228622539,13.952502551594574,18.113697962935625,19.605825089636816,9.071578086601571,24.34439623717246,9.751667764873455,14.805638210713262,
Sintra,8.325677959805331,7.608308986378473,7.651516242378355,7.788947767417358,7.9425855591172425,9.152452557978302,11.953896455622987,12.084187862832998,13.488866236326327,12.536078511874495,12.165800325572848,11.642930037533567,
VilaFrancaDeXira,7.569148454869105,7.0423492468648625,6.728567951751047,6.675958342456064,7.145155968283895,7.917014759454153,10.12952988842116,11.203460612451773,11.248750906489294,9.332361870186372,7.17874879295538,10.867282202387084,
Alcochete,7.547080323504023,6.598005455865521,6.55079532259337,6.2798723411164055,0,5.2638848059706005,11.92693686518269,13.068778362298783,11.51830628957018,0,0,0,
Almada,9.891776749710639,8.713567872820732,9.622278996019189,9.020368685789848,8.451663272981989,8.359476457749615,15.62473934236261,12.586308693964241,12.06857407665593,0,13.449037156176473,15.381602014159906,
Barreiro,7.988224417343288,7.064858906235447,7.209597328491908,7.22918631176459,7.6083599476126125,8.442931433159941,8.76463075072616,9.578501071904693,0,6.730655535944635,13.017370435584471,0,
Moita,6.561789775104364,6.124397198160878,6.554242850876575,5.781357271397257,6.7795392893054744,9.361463418193594,6.406124953519812,6.824176052275486,0,6.209553122610721,11.690666752714225,7.934192408169816,
Montijo,6.887380645185816,6.419097135303295,6.077275849880669,7.469474766631094,5.32882643467689,6.015084016407302,4.806638507483819,7.946268893459203,7.151016222800035,9.493818291093735,8.851833049271963,0,
Palmela,7.078854594851108,6.940188376021635,6.5101140010257765,5.730414181083523,6.0250856397326285,8.339849170600885,6.610826517627982,10.864538722708895,7.226584170143707,12.243640988175395,0,10.323606268627358,
Seixal,7.594846302216014,6.579902982751486,6.550112610307799,7.463278971787773,7.421109037089747,6.184001567952988,9.428740380102724,12.747853227200984,10.311942627729117,11.905346659756656,10.508508285881513,8.853337836352882,
Sesimbra,6.409075429358051,6.5999267371067925,5.513309900672679,6.476053750959157,4.2565033036350375,7.860656524354165,6.027715975973514,12.334102314815262,0,0,0,0,
Setubal,7.699176396593172,7.048023190504388,6.589765202404342,8.009237699897032,7.181819674455236,7.751691605359381,8.988472262535758,12.460647501713755,9.792243544048214,10.487922204461553,10.526824865255639,7.834720722524072,
