-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,138,176,215,219,165,134,44,23,11,4,8,14,
Cascais,155,126,161,136,116,78,68,42,18,10,10,9,
Lisboa,744,419,403,266,187,103,88,63,54,25,21,3,
Loures,151,169,181,172,146,107,52,20,18,9,13,9,
Mafra,44,61,38,49,37,33,19,5,12,2,3,4,
Odivelas,101,101,119,108,93,71,45,22,13,5,4,7,
Oeiras,114,122,132,111,81,66,21,16,10,7,10,8,
Sintra,295,299,321,261,261,153,58,21,14,14,16,10,
VilaFrancaDeXira,100,89,84,109,93,69,17,15,2,11,10,10,
Alcochete,11,10,10,14,8,9,2,5,0,2,1,1,
Almada,154,165,190,170,125,85,38,14,7,10,17,12,
Barreiro,77,86,96,82,75,41,24,15,6,1,3,1,
Moita,61,60,66,57,70,43,21,1,2,6,0,1,
Montijo,65,39,37,39,41,32,15,11,12,1,3,2,
Palmela,42,30,28,41,34,21,15,8,4,3,4,0,
Seixal,82,85,85,101,89,52,25,8,8,10,13,10,
Sesimbra,17,24,25,23,26,15,6,6,2,1,4,1,
Setubal,124,91,91,79,76,50,24,4,4,10,5,6,
