-,2021,2022,2023,
Amadora,11882,5814,588,
Cascais,9181,4829,747,
Lisboa,29101,7005,1636,
Loures,10690,5163,778,
Mafra,3050,1493,334,
Odivelas,6815,3669,461,
Oeiras,7609,2923,556,
Sintra,18681,7831,858,
VilaFrancaDeXira,6068,3082,524,
Alcochete,715,381,64,
Almada,10786,4162,731,
Barreiro,5417,2462,175,
Moita,3876,2144,143,
Montijo,2859,1573,286,
Palmela,2240,1239,175,
Seixal,5607,2764,651,
Sesimbra,1414,842,127,
Setubal,6116,2446,397,
