Year,Birth Rate,Mortality Rate,Divorces,
2021,9.942281670778579,14.63484157650053,1.7090576953550773,
2022,9.564658840116527,14.445504325458133,1.5345059203976563,
2023,8.547052532726266,17.911602062901178,1.5616727897215248,
2024,7.930139563783042,17.214731934547785,1.8169435525079538,
2025,7.862232454015157,18.37652169655794,1.7270531717684752,
2026,7.57837982430497,18.888904668749387,1.5988496738397946,
2027,7.867812024521834,19.13629351414614,2.0795900087837316,
2028,6.958788293557853,21.512460276088152,2.0313123772833643,
2029,6.401321348605683,21.30131711832696,1.4597162948437803,
2030,6.8225888359333595,22.96999627264243,1.4541493418871876,
