-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,1506.235639199364,1736.9559913316295,1605.3436470775623,1673.2946485741415,1661.1425505847806,1743.1821808744294,1775.58114764832,1867.2783663850996,1834.971953689866,1857.280256954273,1822.5897535696265,1901.7331162039834,1754.1196765184839,1732.825212466198,1832.479259607328,1733.4664275954412,1789.96744665283,1737.1306078953105,1706.0049998522982,1750.5578511960002,1707.3649152695796,1651.6202820662452,1655.372773380608,1644.3963228591924,1597.8667737588275,1497.943265515195,1521.4255628802925,1521.4657539999967,1471.578770573859,1490.5479666176618,1474.0878717969865,1445.0186731614092,1397.784032596635,1367.2879599653447,1357.9395963009208,1380.3388219807055,1376.876643291935,1354.5800670481203,1349.488396753602,1263.817967112247,
Cascais,1903.7346229928742,1915.4366754474793,2004.880656438872,2015.7361114993487,2094.6930432450863,1982.7088279050167,2098.105079428438,2125.0296505510155,2455.5661496491502,2547.9589486876525,1994.5026153155231,2623.263050307828,2448.576377081313,2570.498963804959,2409.846305513259,2428.053836253033,2238.3438418046635,2432.370155993335,2258.2878869922033,2238.705745168246,2226.374665335634,2255.2706476365984,2274.3493854218787,2155.5946148049534,2287.90078133386,2196.1078630185866,2356.2413801429334,2390.948664183242,2409.5811744738344,2121.6742402723276,2288.0294296729635,2173.0332966376295,2092.5258188351454,2163.4495950920127,2246.2945553681348,2201.8177537327265,2230.1254483824387,2165.0565735743407,2325.023038960531,2173.9853762938,
Lisboa,2293.393312902306,2412.8452237725996,2488.051387311358,2638.203345215777,2769.363128746129,2785.971089005207,2834.156125155164,2995.12483232478,3058.8043540731287,3011.3650948240397,3010.943937895562,2953.6267694712415,3000.1407973383016,2790.7274076569383,2967.524326210566,2958.09402814176,2898.4760932922563,2745.6934907369923,2940.56622318427,3049.2397599244623,3006.3869106860852,2979.93479684122,2969.7195072183385,2880.061132455765,2787.231443168709,2831.3046139348107,2812.453731769373,2808.182775602034,2780.9410130622437,2707.042646041231,2872.5975222847273,2874.333099560411,2772.318276669592,2812.1206124865303,2919.33180972889,2851.7970867637146,2767.300030405308,2861.3480484216907,2767.8954178345302,2803.792593677139,
Loures,1444.7381918525896,1556.2604391292123,1537.3100711813531,1791.2936925551187,1704.1556889034935,1709.9189261170316,1774.248078505768,1789.6331346605243,1841.852207650298,1684.2309366696334,1798.3824108126073,1745.8280383718634,1726.0408448807061,1764.8954466437835,1673.1154052548188,1739.0736819932647,1855.593887042379,1743.3492445971183,1829.8671329218294,1742.4728232716607,1698.9354996533025,1732.8361646874291,1715.3798729018106,1678.759364716887,1595.2201766295093,1618.8554259967977,1658.3462495080826,1620.0792438161266,1646.7779737133435,1576.0559994328387,1614.9372885457526,1563.0438880334657,1484.2095269798149,1518.8187956285149,1534.2883447722409,1442.3088948635125,1466.7522447388415,1442.7884926516385,1406.9798614059355,1395.41389068096,
Mafra,1203.5983860700524,1175.0971596144227,1360.0058964015864,1329.3426177711829,1574.3838289173923,1377.9231954323768,1671.215455750124,1430.9461569464634,1427.8184729501736,1557.8768305881513,1625.4645154183938,1684.0421446469622,1727.4685411588603,1817.3684542327303,1732.7223390491135,1744.2151966022097,1658.4535432443972,1686.8177222670388,1804.7808799689574,1682.358754774893,1564.3140047483535,1720.8355225109192,1699.2032136371363,1700.3183482355448,1818.56169450219,1791.692341569135,1746.8860196584508,1566.9125676090318,1797.2444217292875,1648.2712698808823,1686.8988863972445,1709.0645498127524,1618.7001924313072,1632.8355860476197,1700.1682400980283,1670.5475147589966,1899.357124592841,1566.252170148069,1799.237917434052,1695.4698684355803,
Odivelas,1517.5548286736826,1530.9113319435053,1572.0275129859208,1746.5938276456095,1674.258539122963,1919.4053698222544,1879.4867039313283,2057.5818936779133,1896.3759985926713,1862.094458986005,1731.2266410155476,1978.3320346227426,1687.2632334951875,1864.5628695071018,1773.6845230296403,1750.3975307976696,1792.3387409867216,1817.4749007499695,1898.2709825865973,1878.493444150458,1823.9722204111172,1860.5488463704594,1883.302420769869,1751.1124317993388,1705.927639315205,1753.3874095640172,1728.3151080701482,1745.7243751358176,1696.1312438219754,1710.5158888435058,1696.9537596675111,1646.771225025854,1595.8574557331267,1598.9630989064076,1574.9678891575863,1569.590651234374,1528.5750830551408,1575.6335338683057,1505.8769485379817,1486.6032586943372,
Oeiras,1855.073218954893,1987.2757595234211,2187.4327662951437,2003.1660862709787,2121.534484738304,2174.5326349561506,2246.610478767831,2044.1429907235383,2127.921520129594,2009.0431628435333,2194.5076760250495,1968.629602738594,2148.973227098538,2016.6305816545241,1984.0480824866909,2048.474335872224,2144.7316654096235,2075.930750703755,2052.0907154251067,1986.4824166948758,1915.5038406020592,1862.2907182268038,2121.94618668391,2131.5514291485124,1947.161904369345,1929.6375691055764,1960.3675736693394,2060.855282855179,1945.0746834738543,2006.8699752236685,1773.962879920637,1887.9769706668671,1886.440499017058,1923.4484527820828,1862.0065527456118,1857.2676018435081,1881.8910934974265,1884.6595913127062,1841.2105482414747,1893.7745368087926,
Sintra,1226.1853603080924,1284.0034885011228,1240.1511560879665,1284.877186205844,1365.0730824139418,1408.9544732707923,1459.8609507278557,1435.2755123085456,1420.208092596975,1515.8296415662796,1550.517597520551,1491.7220141488997,1551.2700074145766,1506.7905010754473,1483.918533043394,1486.5434283037862,1450.0539064775307,1450.1501816864798,1405.2257703786493,1449.2243598406185,1360.5442797747428,1367.9086118958298,1370.8722364621592,1315.626858265487,1272.8262922784488,1274.7087938605225,1223.9001240584812,1203.0688764955894,1199.124988969424,1180.4937881523624,1148.702240369998,1139.398581675317,1143.9951817227334,1133.483656147925,1137.6421906750925,1094.2393400799704,1052.3241543431227,1067.598753952589,1075.0670211701702,1043.2214115730933,
VilaFrancaDeXira,1297.1218575589705,1199.812257189095,1071.5239902091598,1200.542198365937,1246.8870010112882,1315.4945762152774,1228.3624616069415,1175.632693005331,1216.1993801021194,1529.315198115354,1188.7831861008485,1371.5922626179245,1392.048487083697,1479.0525577398867,1444.217804901614,1452.0079276609654,1358.1759140874804,1386.303791719552,1387.658800124485,1417.469460188957,1408.102575359302,1489.8626781239411,1388.868784855431,1412.45545888804,1394.8494036705536,1438.8602661686855,1386.3296471018875,1362.5171338198354,1344.1695559215345,1339.7363932023022,1317.5325651340029,1313.7880454010144,1413.0930548530541,1346.2941956138218,1406.8903171552834,1327.196838002897,1306.9450621025194,1292.4959941558113,1314.0107130604374,1292.983750776685,
Alcochete,1445.4838057304457,1554.6459625925418,1267.670083395239,1477.382297640694,1717.581752888246,1650.0635311843098,2086.4621377770436,1528.7313445199447,1848.0586909931603,1837.2306738239681,1810.536003954329,2485.398985063306,2031.8166386097876,2333.4960002632515,2299.077655291524,1619.6499559764804,1800.5348040496604,2953.6531200000004,1757.3160648043527,2012.548323728697,0,0,1999.6907516723663,0,0,0,0,0,1992.0949585212109,1466.7075306909444,2586.78531874863,1783.4682857583452,1815.9564843920439,0,1874.5998442441355,0,0,3526.9832858336254,2321.788197288159,3085.5028076441176,
