Year,Birth Rate,Mortality Rate,Divorces,
2021,13.700355025998295,15.00110338448179,2.001207609156331,
2022,13.84736626143815,14.935941499805505,1.5619635589801455,
2023,12.976884223650515,16.36872677917177,1.7287964563342126,
2024,12.412669298420475,17.631082290960517,1.6493366629743897,
2025,11.906051225458633,19.222303879622785,1.7498437935784696,
2026,11.780529167398763,18.67415283260928,1.6378039530745194,
2027,11.473281553570258,20.10944589100987,1.868201705939905,
2028,10.349570108106759,20.49674671747944,1.66858588714369,
2029,10.74429237067205,20.550309424051086,2.0590367735103374,
2030,10.112562188942219,21.800024386055057,1.8983609680786124,
