-,2021,2022,2023,
Amadora,11389,572,477,
Cascais,9245,1414,683,
Lisboa,24606,2494,1620,
Loures,10579,747,429,
Mafra,3336,175,270,
Odivelas,7275,905,620,
Oeiras,8228,890,477,
Sintra,19888,1271,778,
VilaFrancaDeXira,7085,524,604,
Alcochete,826,64,127,
Almada,10007,477,524,
Barreiro,4543,397,667,
Moita,3558,175,318,
Montijo,3225,318,191,
Palmela,2685,143,143,
Seixal,6449,381,794,
Sesimbra,1557,48,111,
Setubal,6497,429,127,
