-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.356757379370205,9.513096236505016,11.120101306879794,10.157657572826789,9.825662927072484,10.679217659351908,
Cascais,11.138504378039688,13.012854359758236,14.459922829289662,14.702966428385363,14.412671349245922,14.223276620040894,
Lisboa,12.235571454252188,14.805553117519436,14.81449691751455,16.51393898195876,15.381854281724205,15.39794700547667,
Loures,8.460716695479295,9.868849480670598,10.167292240939632,8.613856776603685,9.479267544076125,11.874007965756535,
Mafra,7.074054392393869,6.035011174967817,6.79782414409937,7.3745996628161965,7.666662665366175,9.29988395155396,
Odivelas,8.487016075261511,9.158930932269458,9.890462793909911,9.422380822373295,8.96042686772975,8.998274302038729,
Oeiras,10.393729441023138,10.562486505395238,11.23292363148175,12.743571402486209,13.849533589644214,13.970738273536409,
Sintra,7.80990074727384,7.925923120647437,9.59901765306218,9.855916965301619,10.04655884636789,10.324124076835046,
VilaFrancaDeXira,7.434837655919534,7.149772884029712,7.503959941388421,8.879195889338895,8.3992879952391,8.879024929584093,
Alcochete,7.062367687942155,7.671143488233609,9.637390817678225,6.293621022809491,8.303358761933595,9.271806248004577,
Almada,8.728252842443375,8.713383777621834,8.691416969699802,9.103392088153551,11.196021999690828,11.14202150610163,
Barreiro,7.332142726537688,7.598155086559887,9.001895072297494,8.120613781556196,9.259973661663555,10.32738250675627,
Moita,6.206472367865151,6.332533766787955,7.823447034588358,7.716203104053648,8.738504597590278,7.17093457189565,
Montijo,6.280283182506758,9.247196519243113,7.520265775644239,9.281037909691133,7.807194814467094,9.21816916386736,
Palmela,6.531941696735254,6.782112583963752,4.946541502945294,10.266280997550913,6.787658075405296,10.464452639761962,
Seixal,7.289533497365306,7.611445556456376,8.500830288129121,8.113027473629622,9.008982775018936,9.773893068147828,
Sesimbra,6.550369864524532,5.575139602206296,4.825846665184008,5.437280685957685,6.420035534925919,8.241364801436314,
Setubal,6.830088091290598,7.124642527122624,10.31141838849663,8.99973076785544,7.920774121349297,8.768896316171944,
