-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,586,92,24,15,11,10,6,9,7,7,5,11,
Cascais,447,87,26,22,23,24,25,17,9,14,9,11,
Lisboa,1192,246,61,50,51,41,37,28,25,19,33,25,
Loures,525,108,23,10,6,17,11,13,9,11,6,1,
Mafra,182,22,4,2,3,4,3,1,8,6,1,2,
Odivelas,351,78,21,8,7,13,12,25,8,13,9,9,
Oeiras,396,80,27,15,16,17,17,6,5,5,11,9,
Sintra,1065,135,33,19,23,25,21,11,10,12,15,12,
VilaFrancaDeXira,352,66,17,11,4,6,12,11,11,10,3,14,
Alcochete,47,4,1,0,2,1,0,1,3,3,1,1,
Almada,508,89,25,8,12,2,11,5,3,7,13,10,
Barreiro,245,19,17,5,11,4,5,5,10,9,11,12,
Moita,202,18,4,0,1,2,6,2,9,7,2,2,
Montijo,163,29,7,4,0,14,5,1,0,4,4,4,
Palmela,136,19,7,7,3,1,4,1,1,0,6,2,
Seixal,337,46,17,6,2,8,6,8,8,14,15,13,
Sesimbra,81,12,3,2,0,2,1,0,2,2,1,2,
Setubal,325,59,17,8,7,8,6,6,0,3,3,2,
