-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,402,240,125,102,
Cascais,311,160,90,87,
Lisboa,995,580,222,189,
Loures,383,258,127,68,
Mafra,149,68,26,30,
Odivelas,239,185,78,54,
Oeiras,304,195,100,76,
Sintra,910,524,180,151,
VilaFrancaDeXira,290,173,76,50,
Alcochete,28,13,9,10,
Almada,440,249,131,89,
Barreiro,227,74,53,39,
Moita,180,68,31,27,
Montijo,137,74,27,17,
Palmela,154,58,25,15,
Seixal,357,167,54,54,
Sesimbra,77,36,21,13,
Setubal,272,169,80,47,
