-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,10.75496047162471,11.331269740127098,10.629215765994816,9.70313876391985,
Cascais,12.671366288239284,13.928585924833559,13.259687651363873,13.483860459621699,
Lisboa,14.526869117449898,16.81625921863344,16.831713647155972,16.778343737776478,
Loures,9.769440838055477,10.54687657678735,9.725961954723694,8.964517119716405,
Mafra,8.171279315131718,9.336796749886226,7.74094485832585,8.332386532620248,
Odivelas,9.69231420883249,10.372644214875525,9.078659002292763,9.485785862857814,
Oeiras,12.20311474048074,13.635937061384915,11.913981235815063,12.083632792686743,
Sintra,9.237442939704405,9.894267052621675,8.709054908952545,8.319221882618997,
VilaFrancaDeXira,8.049261178984173,8.80710377509568,7.348924844187339,8.08369635537884,
Alcochete,7.0911923821798695,6.030190367750173,5.73601361213217,5.478346781791412,
Almada,10.751587761339003,11.705944598964477,11.622846691744853,10.719457145933895,
Barreiro,8.180361562254886,8.165658732716988,7.833212555161102,8.22100751411306,
Moita,6.595220247307449,6.969154429310682,6.98247771060586,4.340083218343331,
Montijo,7.432681081152178,8.62202466629277,7.977152587640252,8.87845847080888,
Palmela,7.5546811311518685,7.268604393574711,7.008115203255523,6.398239633273375,
Seixal,8.242888000341424,8.968462168377165,7.720151991950189,7.457729257734972,
Sesimbra,6.64937720732719,7.0708842985233735,7.229137526677764,5.811080651275226,
Setubal,8.453864493462177,9.006825820547052,8.605833982821286,7.013546544425803,
