-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1952,2179,2063,2319,2313,2217,2648,2256,2590,2679,2486,2414,
Cascais,2636,2718,3058,2785,2874,2895,3060,3103,3121,3071,3039,3104,
Lisboa,3394,3790,3940,3803,3820,3917,3948,4106,4007,4030,4018,4229,
Loures,1901,2015,2279,2186,2212,2347,2219,2479,2214,2567,2540,2527,
Mafra,1613,1847,1892,1777,1849,2237,2545,2532,2446,2491,2217,2530,
Odivelas,1939,2016,2362,2402,2433,2366,2400,2475,2449,2546,2590,2547,
Oeiras,2543,2632,2811,2801,2939,3029,2938,2906,2977,2809,2874,2947,
Sintra,1618,1875,1968,1910,1907,2183,2272,2231,2346,2402,2372,2478,
VilaFrancaDeXira,1643,1940,1595,1741,2136,1814,2001,2245,2162,1834,1950,2204,
Alcochete,1478,1629,1516,2841,1983,2861,1291,2462,3241,2934,2607,2136,
Almada,1939,1982,2174,2447,2404,2389,2599,2603,2434,2451,2535,2675,
Barreiro,1370,1625,1895,1400,1230,1414,1425,1361,1888,1630,1327,1539,
Moita,1150,1137,1300,1552,1613,1275,1363,1405,1572,1467,1804,1126,
Montijo,1551,1605,1613,1924,1836,2060,2046,2191,2399,2331,2481,2494,
Palmela,1324,1326,1527,1597,1687,2092,2321,2565,1469,2152,1907,1905,
Seixal,1581,1686,1715,1798,2165,2072,2121,2210,2221,2239,2306,2145,
Sesimbra,1570,1780,1481,2051,1780,2091,1675,2297,2124,2426,2448,3298,
Setubal,1563,1718,1801,1837,1894,1988,2056,1898,2024,2042,2183,1965,
