-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;
Amadora;0;0;0;1686.64447639322;1686.64447639322;1686.6444763932202;0;1569.030309283584;
Cascais;0;0;2560.0652143308;2588.862336320806;2410.250580464464;0;0;1567.1989711863334;
Lisboa;0;0;2824.369837191795;2810.1770239395746;2726.7119561515456;2593.0759392434848;2572.4412415482534;2007.4136547555133;
Loures;0;1617.488433;1569.4474090514668;1538.2154056113425;1526.930704034892;1431.0855579912977;1398.1603718541508;1363.4508649745835;
Mafra;0;0;1492.278988605814;1469.9322982236765;1426.2738390341353;1370.0729589435725;1342.8085070605955;1302.925751592389;
Odivelas;0;1862.5956633900003;1834.7498582223197;1789.201962495737;1701.513263594999;1667.6531496494583;1618.1221834517196;1570.06233648102;
Oeiras;0;2411.193015;2351.394222631492;2293.0205656533813;2213.7909840237458;2158.8333447309105;2162.1622981320043;1939.6769818095136;
Sintra;1556.823830855269;1500.5330999999999;1463.6420393508693;1439.2705517154227;1402.376098227779;1388.3671623090104;1399.2646951765419;1424.962569076928;
VilaFrancaDeXira;1375.0;1343.4001992993012;1315.4924444182905;1256.0862152900063;1231.090099605735;1176.6673364436128;1160.3485590884327;1115.4059884170192;
Alcochete;0;0;0;1287.8400748125375;0;0;0;0;
Almada;0;0;0;1700.934147;0;1667.0855574746997;1448.2735975837832;1506.0104972647437;
Barreiro;0;0;1159.4892927962958;1125.0513013109528;0;1075.3161921291862;0;0;
Moita;985.0;965.3985;927.3579471599851;922.0996927416954;0;885.6616453991436;830.2990454831678;821.3670569985957;
Montijo;1364.0;1323.487836;1297.1504280635997;1258.6237631996826;1209.0289650208001;1184.9692886168862;1149.774515775676;1115.6250628826228;
Palmela;1287.0;1261.3887;1211.684952279087;1175.696697511446;1152.3003332309681;1118.075861033675;1074.0192109862628;1042.1197664007598;
Seixal;1480.0;1443.2952599999999;1379.456714902345;1493.059629541899;1484.035002835779;1285.7438028980876;1287.756298966687;1248.6944703432866;
Sesimbra;1571.0;1539.7371;1587.8672958840898;1551.477738781654;1399.5435154532415;1560.4739074383417;1324.2637568061489;1415.777946422656;
Setubal;1318.652786139201;1274.1299999999999;1236.28706487;1230.075494756614;1223.9629818392361;1241.257013430709;1090.7604987765062;1194.1405073309259;
