-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1963,2869,2528,2141,2402,2615,2284,2551,2327,2086,2607,2897,
Cascais,2634,3511,3140,3211,2895,2896,2869,3003,3166,2890,3222,2841,
Lisboa,3305,4152,4427,4464,4217,4279,4015,4058,4421,4809,4628,4358,
Loures,1970,2515,2441,2705,2579,1937,2566,2406,2112,2598,2102,2206,
Mafra,1892,1956,2422,2467,1951,2501,2119,2623,2461,2450,2752,2625,
Odivelas,2092,2416,2621,2590,2449,2635,2527,2318,2378,2640,2212,2824,
Oeiras,2684,3065,2607,2784,2963,3076,3064,2953,3065,2761,2932,3311,
Sintra,1664,2230,1990,2212,2222,2195,2170,2171,2093,2301,2831,2435,
VilaFrancaDeXira,1777,2315,2441,2434,2009,2099,1619,2551,2230,2615,2086,2670,
Alcochete,1737,1836,2037,2609,2160,2260,2054,2004,2196,2456,2359,2034,
Almada,2060,2289,2335,2488,2427,2793,2737,2698,2548,2552,3037,3009,
Barreiro,1268,1578,2415,1864,2338,1970,1600,1963,2328,2832,1491,1921,
Moita,1080,1450,1388,1816,1669,1523,1840,1584,2068,1588,1887,2099,
Montijo,1602,1927,2108,2258,2432,2250,2486,2619,2524,2319,2544,2492,
Palmela,1323,1613,2048,1985,2182,2363,2444,2624,2554,1992,2624,2778,
Seixal,1652,2141,2475,2563,2472,2422,2580,2529,2401,2575,2678,2713,
Sesimbra,1689,1854,1491,2101,2132,2209,2234,2101,1674,1930,1803,2663,
Setubal,1607,2181,1856,2392,1956,2329,1676,2443,1765,2299,2135,2343,
