-,2021,2022,2023,
Amadora,9984,1644,1120,
Cascais,8165,1461,755,
Lisboa,21683,3526,1827,
Loures,9594,1596,953,
Mafra,2978,484,183,
Odivelas,6139,969,659,
Oeiras,7363,1279,747,
Sintra,16107,2542,1501,
VilaFrancaDeXira,5695,786,659,
Alcochete,651,111,56,
Almada,8967,1549,897,
Barreiro,3630,786,477,
Moita,3153,524,310,
Montijo,2677,461,286,
Palmela,2025,421,199,
Seixal,5528,929,707,
Sesimbra,1350,246,103,
Setubal,5576,834,834,
