-,2021Q1,
Amadora,12.638766403864928,
Cascais,14.044773239673404,
Lisboa,16.453885409313273,
Loures,11.004377929543478,
Mafra,10.049841186349603,
Odivelas,11.333219821235987,
Oeiras,14.101077587890888,
Sintra,10.275622888579322,
VilaFrancaDeXira,9.688464513900437,
Alcochete,8.427637750226737,
Almada,12.206666735184044,
Barreiro,8.821505870392956,
Moita,7.966777071614118,
Montijo,9.398558748843755,
Palmela,8.076865193853237,
Seixal,9.431601273697138,
Sesimbra,8.650835441650656,
Setubal,9.103265826987977,
