-,2021Q1,
Amadora,1987,
Cascais,2978,
Lisboa,3211,
Loures,2125,
Mafra,1893,
Odivelas,2314,
Oeiras,2756,
Sintra,1678,
VilaFrancaDeXira,1682,
Alcochete,1894,
Almada,2151,
Barreiro,1309,
Moita,1192,
Montijo,1549,
Palmela,1413,
Seixal,1694,
Sesimbra,1702,
Setubal,1610,
