-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;3181.6589621475423;8401.38538745675;8975.653523151715;9338.829139948883;2026.9195236212515;
Cascais;5715.365593848215;2219.38430868;2188.5430449397672;2151.5649839438565;2096.518097486946;
Lisboa;7145.496768292219;18504.395255700223;22668.73588997562;22897.71302017739;23861.7683061289;
Loures;4418.877783042688;12122.476671586985;12492.565899911144;12478.648349886886;12449.972229175062;
Mafra;5542.337969848034;12316.84128639303;8279.824586700624;8403.198895269077;18072.97727967136;
Odivelas;4210.772685069026;11655.106202029678;6227.236694318421;6745.25899523764;7220.573303607198;
Oeiras;3397.3683547780797;4731.081670449352;6641.73406002287;6720.399724858367;7271.747810325792;
Sintra;7904.689719010251;24252.749184201628;49301.99369878415;55052.76055755428;58190.754074916586;
VilaFrancaDeXira;7267.198565306663;16985.557460506643;20203.68555098163;17986.007426822343;18457.247728060054;
Alcochete;2226.1680386025505;2636.759108689678;2510.1728579565643;2592.9335914574967;0;
Almada;2136.548987027672;3982.2187732198445;4504.42217866052;4478.811907239017;4463.630989401775;
Barreiro;2806.735434662281;4838.748855873836;5758.857210054007;6255.8387888557445;6311.086592099118;
Moita;5112.350741013121;7242.6108572112635;7230.978755520871;7255.295502622098;7028.580678103159;
Montijo;4317.456000888933;8353.4812454798;10678.665884497022;7262.9304276259545;7239.324328073026;
Palmela;3131.7572231154268;12829.66629445532;6422.029225204305;2548.3379857138502;9344.054278736385;
Seixal;3254.219753849587;14712.924900892393;25140.08366582377;27950.56570991432;28648.99358375392;
Sesimbra;5173.6924210401385;8949.583224628854;10637.562646428949;11019.683616925044;10492.946276488674;
Setubal;7883.775455713844;16943.865064992184;23309.231680138655;22424.817962384102;22264.995541947927;
