-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Supply in Amadora for houses Smaller than 75m2,15.0,29.0,28.0,39.0,42.0,54.0,43.0,38.0,42.0,55.0,56.0,57.0,62.0,51.0,51.0,48.0,39.0,25.0,14.0,11.0,6.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,6.0,10.0,7.0,9.0,4.0,5.0,3.0,4.0,6.0,4.0,1.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,
Demand in Amadora for houses Smaller than 75m2,15.0,31.0,32.0,40.0,44.0,32.0,35.0,46.0,64.0,62.0,78.0,77.0,85.0,79.0,78.0,98.0,91.0,98.0,109.0,129.0,129.0,132.0,131.0,152.0,129.0,160.0,165.0,152.0,147.0,158.0,139.0,169.0,170.0,144.0,165.0,150.0,164.0,149.0,171.0,187.0,214.0,180.0,196.0,202.0,190.0,184.0,206.0,226.0,241.0,246.0,261.0,295.0,298.0,283.0,258.0,298.0,285.0,269.0,309.0,306.0,333.0,334.0,315.0,326.0,312.0,307.0,306.0,326.0,340.0,343.0,372.0,385.0,392.0,345.0,398.0,396.0,396.0,398.0,403.0,397.0,407.0,402.0,402.0,421.0,419.0,431.0,413.0,427.0,419.0,448.0,445.0,458.0,434.0,462.0,453.0,428.0,463.0,481.0,443.0,478.0,521.0,530.0,491.0,501.0,506.0,556.0,481.0,522.0,505.0,528.0,524.0,495.0,494.0,520.0,535.0,500.0,558.0,529.0,538.0,486.0,
