-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,1971.5957580621875,2138.3266907739135,2007.314933947973,1956.3617830562043,2076.5574805850547,2072.797544762091,2231.9571932613894,2167.0632028032896,2076.9297875206635,2208.8581733444075,2136.3745610200303,2153.0126111014765,2110.2543549550533,2145.1965633099944,2267.501506257879,2312.7868005357723,
Cascais,2505.3382441966323,2976.622539899854,2752.852296407941,2615.284042784065,2706.5734684865047,2727.2340683606158,2840.7664148395484,2794.028571500085,2963.438888569025,2822.439701069562,3031.244809990645,2980.9251814290824,3206.794539559228,2999.497647145459,3132.624804984714,3007.4257654990265,
Lisboa,3303.573000920617,3887.614069761683,3811.99361918884,3413.1146929684974,3762.946977800463,3872.978404119039,3902.5264825052327,4157.788764352949,3845.372681100247,3827.0007541118634,3920.1573128450104,3936.999853299668,3855.25861326893,3818.848094994659,3628.1644602154083,3846.088353466458,
Loures,1813.8945851380997,1998.5084798929893,2006.327273090823,1825.82515349919,1957.885942842574,2011.3736021784193,2122.9296803261786,1793.7356250058774,1992.602016855394,2188.150136968412,2046.3975207579538,2154.7442850184025,2150.8823554292367,2240.394732744219,2195.110161648654,2284.8089904129374,
Mafra,1643.4169365187076,1904.308599152769,1830.7847810700998,1890.5626251335407,1892.383691323836,1881.69489134087,1992.264331598668,1964.8236619186466,1885.440203801892,1967.9906108259074,2163.3573658024893,1975.2664451416204,2243.4259701617143,2361.931762961415,2454.7258116674075,2308.278096586804,
Odivelas,2025.069018670259,2011.7869817340197,2166.6849615544143,2143.87622285179,2040.2342492667797,2192.882458269045,2048.077473141144,2162.961707514164,2162.4608030788913,2219.5535158815255,2209.142022752855,2163.576715603113,2120.1829232429,2215.4560922558408,2228.1676627715665,2106.867975063304,
Oeiras,2543.5830317007444,2591.839033427108,2351.5333289283476,2226.17478527403,2569.684460875146,2675.325951992315,2493.5256272143915,2481.158364019712,2356.4331781913183,2382.9688455045034,2289.2240814823654,2143.6139732616057,2381.4046566529696,2468.2445477471874,2634.8995334790984,2497.407028756026,
Sintra,1446.774297540584,1597.9225184037568,1563.498005544278,1517.426970665724,1675.8632453782902,1641.3923618319643,1610.3578788852587,1605.6767747150625,1722.4471941304023,1573.0410635191975,1696.6067218310982,1818.659944526071,1821.9112835953817,1908.0929394281384,1969.844083037242,2149.0958188084905,
VilaFrancaDeXira,1509.7876262214425,1644.3468677986789,1618.330068893124,1589.9744893829609,1630.541151676455,1627.5743082908912,1883.253186939005,1647.5051991899531,1740.3744973898865,1734.803739190565,1710.0796718290899,1799.3935925471512,1897.6975716423876,1956.7551572116213,2028.7058905391762,1956.7811111340693,
Alcochete,1536.4748022789613,2260.0505405059394,2082.9089886069337,2310.251064607644,2256.2271293433078,2339.6841741228436,2227.108212777275,2284.030025068646,2357.5419600422792,2497.86785388338,2839.578,2592.3544812811074,3137.29551382346,2763.93546,2623.757764270088,2796.9159280355652,
Almada,1929.383800526053,2235.9567976130184,2187.4801464721786,2112.669238175988,2187.560283015433,2202.223992376208,1965.1790363574833,2241.1891845374507,2124.5917375117187,2255.248921218677,2323.847198704116,2438.661946108999,2295.082465624725,2212.2130883474997,2665.5938644872394,2468.783406004065,
Barreiro,1199.836732018755,1344.9443818197678,1135.7291256238393,1165.9136222825243,1245.7879977889143,1348.107354746492,1421.5144537045835,1317.841254544465,1314.7481356071687,1347.6292068255736,1635.4006824552341,1431.0002823623277,1402.1303811179441,1464.5771692592,1826.7849510491276,2349.1628183527123,
Moita,949.1985990830098,1103.0367018733846,1045.2656875563089,1065.1040520847955,1327.8613544782131,1163.5435236703622,1245.272106012489,1312.6972732442441,1290.0389449628706,1267.905274442913,1336.9617942011714,1363.0909445489988,1083.1668555101533,2353.4583959381516,2355.227161624619,2105.0750252063535,
Montijo,1479.55915961922,1602.3769108707359,1453.7056166527175,1563.5399999794297,1702.400303193559,1793.6347643431359,1710.685374833499,1670.632903241762,2001.492819983454,1795.3985936554423,1959.430138820766,2053.0572933752455,2180.7840584002956,2354.6931047705466,2167.4451068634257,2587.9158773475688,
Palmela,1157.827565539823,1302.0821424114347,1418.250127162947,1431.3303719610583,1532.724428647028,1677.1983568988005,1473.7824353391143,1892.28188036539,1895.3521014341513,1907.28061769108,1984.660041707658,2033.9973525554833,2091.611124222176,2201.5949502164003,1980.1698678678563,2088.8215219833146,
Seixal,1467.893634354317,1708.3980709875102,1679.4996430389995,1847.1973540588729,1671.456638708429,1843.263408360092,1907.4146779630332,1998.0887709309613,2045.7066951370919,2007.9804419732714,2077.0148282027476,2076.7572603481217,2325.2948086231627,2128.5972634505088,2263.022775437238,2118.1456017041974,
Sesimbra,1555.911669290527,1501.2549903351523,1651.530548688304,1619.6622599163643,1637.0567296595977,1843.971774537194,1977.0328965095546,1607.1587121177954,2179.6640632532058,1836.8470723931023,1688.2847225900343,1965.0044556923267,2295.6807864434227,2074.701867985496,2278.890415273997,2355.5677964751276,
Setubal,1367.747929033365,1637.3060989094172,1726.6233724562244,1659.97473178383,1736.4043023898366,1560.966713056746,1605.6691107322117,1621.392079682951,1713.9012161053693,1960.6478520531996,1901.8559817416453,1920.5563279923158,2038.8610922136966,1945.488609430856,2318.5874397492553,2140.4528982323773,
