Step,Birth Rate,Mortality Rate,Divorces,
1,0.0,0.0,0.0,
2,0.9998000399920016,0.5998800239952009,0.1999600079984003,
3,0.19972039145196724,0.3994407829039345,0.19972039145196724,
4,0.39896269698783166,0.19948134849391583,0.19948134849391583,
5,0.39872408293460926,0.19936204146730463,0.0,
6,0.39840637450199207,0.0,0.19920318725099603,
7,0.19896538002387584,0.5968961400716275,0.0,
8,0.5964214711729623,0.0,0.1988071570576541,
9,0.794754619511226,0.5960659646334194,0.0,
10,0.3971405877680699,0.0,0.0,
11,0.3972983710766786,0.9932459276916965,0.0,
12,0.19857029388403494,0.0,0.19857029388403494,
13,0.5953562214725144,0.3969041476483429,0.0,
14,0.5944125222904696,0.396275014860313,0.0,
15,0.39643211100099107,0.5946481665014867,0.0,
16,0.19798059790140565,0.593941793704217,0.3959611958028113,
17,0.593941793704217,0.9899029895070284,0.0,
18,0.3956478733926805,0.3956478733926805,0.0,
19,0.3957261574990107,0.7914523149980214,0.0,
20,0.7914523149980214,0.9893153937475268,0.0,
21,0.5928853754940712,0.5928853754940712,0.0,
22,0.39533504645186796,0.593002569677802,0.0,
23,0.3951007506914263,0.5926511260371395,0.0,
24,0.3948667324777887,0.19743336623889435,0.19743336623889435,
25,0.3948667324777887,0.9871668311944718,0.0,
26,0.0,0.0,0.0,
27,0.7895775759968416,0.9869719699960521,0.0,
28,0.19747235387045814,0.7898894154818326,0.0,
29,0.19766752322593398,1.5813401858074718,0.0,
30,0.3956478733926805,0.9891196834817012,0.19782393669634024,
31,0.0,0.9891196834817012,0.0,
