-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1735,1876,1923,1946,2028,2117,2194,2286,2436,2515,2627,2827,
Cascais,2495,2771,3021,3128,3189,3308,3424,3439,3450,3543,3510,3476,
Lisboa,3093,3932,4124,4461,4821,5410,6084,6895,7816,8352,8211,8090,
Loures,1818,1981,2018,2033,2140,2236,2371,2544,2489,2855,2905,3050,
Mafra,1593,1720,1771,1802,1941,2005,2084,2232,2350,2490,2419,2585,
Odivelas,2024,2199,2218,2269,2268,2330,2313,2243,2205,2190,2166,2172,
Oeiras,2415,2648,2666,2592,2730,2811,2947,2986,3115,3287,3393,3454,
Sintra,1468,1478,1571,1637,1789,1911,1991,2279,2440,2594,2902,3350,
VilaFrancaDeXira,1451,1476,1431,1522,1528,1631,1583,1907,1931,2045,1991,2297,
Alcochete,1795,2097,2117,2194,1774,2087,2166,2141,2266,2341,2264,2128,
Almada,1837,1957,1937,2070,2168,2245,2386,2439,2647,2697,2889,2987,
Barreiro,1155,1218,1221,1299,1313,1326,1358,1509,1649,1643,1658,1504,
Moita,1082,1068,1105,1113,1184,1166,1203,1170,1251,1482,1331,1373,
Montijo,1380,1455,1579,1567,1523,1677,1658,1746,2227,2333,2309,2469,
Palmela,1152,1236,1257,1339,1328,1402,1453,1556,1595,1541,1595,2205,
Seixal,1478,1585,1614,1673,1787,1838,1956,2099,2354,2547,2668,2990,
Sesimbra,1571,1637,1609,1654,1725,1757,1752,1927,1981,1932,2147,2321,
Setubal,1301,1361,1431,1514,1628,1650,1675,1898,1827,1984,1968,2057,
