-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1848,1669,1987,2028,2164,2123,2253,2249,2333,2351,2500,2446,
Cascais,2592,2695,3123,2974,3172,3230,3371,3543,3409,3530,3593,3527,
Lisboa,3209,3778,4035,4144,4190,4587,4827,5215,5506,5603,5151,5412,
Loures,1892,1972,2050,2075,2139,2254,2248,2399,2492,2482,2541,2787,
Mafra,1504,1760,1789,1834,1660,1988,2121,2246,2571,2130,2188,2097,
Odivelas,1976,2248,2237,2404,2470,2618,2692,2748,2718,2724,3101,2927,
Oeiras,2476,2655,2747,2685,2712,2838,2990,2464,2984,3037,2831,3217,
Sintra,1427,1469,1615,1610,1736,1841,1873,2021,2027,2326,2351,2354,
VilaFrancaDeXira,1425,1425,1501,1528,1525,1600,1589,1646,1590,1831,2265,2366,
Alcochete,1769,1648,1946,1910,2455,2279,2518,1783,2267,2406,2207,2557,
Almada,1775,1788,1845,2102,2056,2029,2127,2187,2243,2106,2556,2418,
Barreiro,1213,1180,1380,1291,1302,1394,1198,1538,1781,1672,1584,1480,
Moita,993,1027,1015,1011,1069,1108,1389,1137,1378,1687,1441,1267,
Montijo,1339,1497,1830,1889,1896,2019,1987,1988,1962,2160,2278,2358,
Palmela,1168,1332,1281,1482,1322,1788,1751,1529,1456,1933,2199,1554,
Seixal,1308,1626,1555,1794,1727,1771,1890,1957,2104,2328,2336,2601,
Sesimbra,1600,1697,1796,1632,1682,1869,1886,1871,1895,2076,2503,1863,
Setubal,1345,1479,1565,1723,1733,1770,1820,1919,2015,2186,2106,2261,
