-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.584648270497036,10.37261682179971,9.139889899545024,9.905812201100472,9.705471243551955,12.163317381776526,
Cascais,11.13250096228067,13.420793676324475,13.971998423578,14.205132182472042,14.477149835954979,15.256312320028998,
Lisboa,12.297016404080813,14.195233351001683,15.475382415485678,14.699916491512944,15.957157778142916,13.987759889784439,
Loures,8.281890025281989,8.241276652012381,9.89723425089132,9.500264972703171,8.6308656114198,9.334714772390244,
Mafra,7.621631853385402,7.549656764482345,7.814171385939747,6.0866588244646795,9.080380838990424,7.530552868026212,
Odivelas,8.764618068712464,9.684973261126892,10.048445083179853,10.754139507969782,10.166635179845109,10.593223185657079,
Oeiras,10.47415723394334,11.125060392770319,11.8719662832337,12.720507043373859,13.400698730901867,13.174932352511501,
Sintra,7.601174241031054,9.211645165089713,9.073202814296343,9.020122109777201,8.022264764820044,11.443438422197161,
VilaFrancaDeXira,7.737643720165329,7.126114882086673,8.960938778693759,8.236965155215293,8.162771640560907,8.699996904699676,
Alcochete,6.439821184831165,7.257211577913091,7.461506463191341,7.056055610770012,7.463569133810192,6.918329333924969,
Almada,8.83277922011554,9.766523142772538,7.758639887467271,9.318034179712683,10.045060620384064,11.360473015050607,
Barreiro,7.244686018181743,7.35353408665326,8.253641352857375,8.597600278455413,9.642957114963256,8.264054072669898,
Moita,6.1239981479961045,5.987360876242915,6.694147080819329,6.779461411141104,6.680266934019793,7.625577591598062,
Montijo,6.80459319202199,5.945687714390432,6.902920901579876,7.006549379581762,12.115567620103883,8.78340520041434,
Palmela,6.425329146942417,7.932814892715536,6.394633902459261,8.202707319499991,9.198581277700917,10.541509838058955,
Seixal,7.118959707161055,6.6343377733850275,8.108017421964858,7.4269753373100444,8.452106828889933,9.831976728128144,
Sesimbra,6.436138023716428,6.999001955071746,6.034724992699747,0,7.883981353709222,0,
Setubal,6.6823829135446475,7.774637923518387,9.242955051994404,8.729295991147536,8.70739798477593,8.809109715965114,
