-,2021,2022,2023,
Amadora,11405,985,715,
Cascais,8737,969,778,
Lisboa,23097,1986,1509,
Loures,10722,1128,556,
Mafra,3002,222,222,
Odivelas,7466,1588,778,
Oeiras,7736,778,635,
Sintra,18458,1541,778,
VilaFrancaDeXira,6688,556,381,
Alcochete,778,79,48,
Almada,8896,572,429,
Barreiro,4400,207,540,
Moita,3622,302,238,
Montijo,2621,254,159,
Palmela,2097,286,159,
Seixal,5941,270,508,
Sesimbra,1255,16,159,
Setubal,5591,524,349,
