-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,573,97,26,22,9,19,19,15,4,4,12,25,
Cascais,429,71,33,17,8,19,18,16,24,11,5,9,
Lisboa,1109,218,66,61,52,34,19,20,24,22,21,28,
Loures,528,103,21,23,23,17,20,11,11,10,9,5,
Mafra,157,25,4,3,3,4,7,0,5,4,2,3,
Odivelas,346,79,29,16,22,20,30,28,14,19,6,10,
Oeiras,373,78,18,18,15,10,8,16,13,8,11,8,
Sintra,962,140,32,28,21,34,28,14,11,13,9,16,
VilaFrancaDeXira,333,64,14,10,5,7,15,8,9,7,1,7,
Alcochete,37,9,1,2,0,2,3,0,0,1,1,1,
Almada,442,96,12,10,8,12,11,5,4,4,7,12,
Barreiro,233,32,6,6,4,5,1,3,14,5,7,8,
Moita,196,24,4,4,7,3,4,5,7,3,2,3,
Montijo,137,23,2,3,4,5,3,4,1,1,6,2,
Palmela,104,17,5,6,6,1,6,5,2,5,3,0,
Seixal,307,55,7,5,8,0,4,5,8,5,5,14,
Sesimbra,64,12,3,0,1,0,0,0,6,4,0,0,
Setubal,298,43,9,2,5,12,9,7,6,5,8,3,
