-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,9.20732635565705,9.469188369761005,9.50043068542784,8.134735888289196,8.28504463267887,8.808386719378808,8.074857364167427,9.270030281470252,8.101938645555336,7.049262514913873,8.46282832086002,8.09704511336769,7.115640165223193,6.968308668841811,7.832972966100556,8.964339375775491,
Cascais,11.521463079384537,10.443910316399998,12.563988025454345,11.573131903915382,11.560513935038331,11.142821435038147,10.573397870174388,12.40772035185772,10.357875224242422,10.551141032985079,11.078625503524403,11.687743655787092,11.870513438283867,11.60297812729299,11.358732681753139,12.089717446431107,
Lisboa,12.432896232917697,11.459495590490253,13.226263429282314,13.315438662415467,12.826193027190369,12.308685477777303,12.088354669621655,13.127490177740347,10.269178299917321,11.027568551473623,11.333858555213672,11.241067267113422,11.169521745745921,10.969758789041348,10.189258047122914,11.052985151875209,
Loures,8.14456725385899,8.441717735880001,8.765766375139664,7.631332033802818,7.26742286163918,6.6124057051645915,6.497242327746235,6.914495214958175,7.3766635586831,5.75702793646934,5.790644715469261,7.2542520780627235,6.900032558651539,6.748566783354061,6.035940666489941,6.676544335122361,
Mafra,7.032373796410646,6.51769000590545,5.079841274728204,5.187589845175005,6.785947292701044,5.081740794233517,5.281470693465313,5.780331020574186,6.642129562772622,6.731017896175178,4.847848088521347,6.053970340618109,7.082605869838883,8.946323496246823,8.761851442990178,7.2335591402460775,
Odivelas,8.85765864043973,8.417697561847302,8.725562935485575,8.326596545747336,7.421394573705091,7.646431367540421,7.6804053336723035,8.45118988305979,7.6654828498472884,7.916103981083276,6.504050832584271,5.9455554535435615,5.116379864849765,6.424408808864308,6.962711755326111,5.8016287484317,
Oeiras,8.14468830142447,7.644635358671865,7.0448550149833755,7.126576837333761,6.65365851554068,6.178003316301834,6.2478154707312346,5.885251136159859,5.781365525611064,8.27469552990345,7.643129286685377,10.794375712465396,9.85273063214732,9.674713489058579,10.108940274247495,6.206625602039125,
Sintra,8.035172897415588,7.030010314799999,7.622420574991984,7.2782342357211025,7.504116026904599,7.431592230784446,7.0526923377611155,6.4514640789222035,7.401270871480674,6.212973575736969,6.463383651159681,6.716501214771171,6.577328104670337,6.2421797160455075,6.31524040071715,6.2068474111395044,
VilaFrancaDeXira,7.774828035330273,7.237085487854696,6.502238503823065,6.283251686161353,7.341622783047141,6.713914816637312,6.208876314161994,6.77855901428443,6.561436112775182,5.75141837412029,6.186103141727257,5.181289465023586,6.975381237560812,6.124256929108568,6.426118443311462,5.983782808532219,
Alcochete,8.759271312000001,9.138629468218081,5.914409675584055,6.559664126684735,7.579047265428125,5.499747412691574,7.706384598596114,7.315713236083711,6.410012177024613,5.665692726224923,11.510446371213066,0,0,4.9833709331632505,4.629704369417136,0,
Almada,8.90646296489313,7.729486516070095,8.798614039468037,9.342792591136961,7.714110748782975,8.846435847835465,8.612948212542232,7.023416764117496,7.095716516876436,7.0644808639871455,6.926809389918427,8.155125124314619,8.491587498904089,8.77660348141932,9.038782560883714,8.16900424670397,
Barreiro,7.449312319013484,6.899315499056303,7.0836966440931235,7.28840600732348,7.304831761604964,5.880046959011562,7.094243730908568,7.316755984366478,6.3946376996422165,6.651623823443551,6.495910266051073,4.9156844824308825,4.919376428578017,5.898628073380951,4.7181066248646335,4.451547562473004,
Moita,7.003676917630893,5.9782061988,6.238752440798698,5.149540104469478,6.359691012677595,5.606863912213071,5.675282744576178,6.057414904763078,4.928401841655522,5.631512010251564,5.239821834003667,4.248786841858642,5.103912450049123,5.881589954355199,5.002101428753367,3.7138946366297043,
Montijo,6.8971599833535535,6.0981351552000005,7.248474314270601,7.263349045045044,5.409098898825243,5.434344078235932,5.664679412723194,4.4142247560759005,4.964004235852407,4.092916781707734,5.095045804258041,5.6307330056701534,5.1670695498934185,6.6626685895304325,6.806482390881711,5.812130148130613,
Palmela,6.780288615126453,6.38267442486894,7.629230477642066,6.036744313531225,6.986500093277753,6.512956197342308,5.284660305203226,6.342461061930667,4.535029891238043,3.6902339723323285,5.574258702612022,6.84856807174245,4.490056194312659,4.7863619897702465,4.02044208001575,4.615668727895558,
Seixal,7.532478165858032,6.504771941315999,6.79394820521289,6.022159333011842,5.764515374718674,6.2985737158972315,6.835697159261747,6.255309727582864,5.62074956074462,6.062585465859196,5.885545342596153,6.305045087395832,6.805181913606898,7.2364429652914595,7.0941502553344025,5.860955936287974,
Sesimbra,5.523136645582376,5.872443893862693,4.371607363922065,5.20117345778068,3.6063990708128135,6.8902426890192485,4.937218907999144,5.419984692806648,5.991878338090495,6.053445101328909,4.495171004286554,5.229850622646103,5.85284092754538,5.613151366859025,5.701309087995119,5.273385533426875,
Setubal,7.191526801022853,7.928844592730561,8.117517166547374,6.944264072591897,7.200974204486338,5.603613883129593,7.7354498717175515,5.570490310934856,5.938666079012483,6.537387896260786,6.41525098703806,5.8301322421307065,5.6611020537899375,5.914586189448778,5.5682181319798545,4.205631110938213,
