-,2021S1,2021S2,
Amadora,10.058389373853947,6.407930632379771,
Cascais,9.115047666203605,0,
Lisboa,12.44446368517142,10.323497443320711,
Loures,6.613833448535146,7.0671065878030905,
Mafra,4.650797490221705,0,
Odivelas,8.175940879193952,6.426596032286408,
Oeiras,12.778301130234777,11.736273826271429,
Sintra,7.030816928850333,6.836901714657987,
VilaFrancaDeXira,6.502021742038889,5.092500349927119,
Alcochete,5.500968127758242,0,
Almada,6.884323619116408,7.1662250931288085,
Barreiro,6.6770832586758955,6.5479593467815445,
Moita,5.9190227488413925,4.049798875867334,
Montijo,7.083240462420587,5.991931090255531,
Palmela,7.7361100038748996,4.8942751550711705,
Seixal,6.525159724369965,6.855433798455577,
Sesimbra,5.956045930232557,0,
Setubal,6.417804236517435,6.730933734563163,
