-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1312.4835026273356,0,0,0,
Cascais,2208.378736422873,1587.9989894004525,0,0,
Lisboa,3168.6412056871995,3676.3972356365393,3354.5362019478653,3305.1086179152007,
Loures,1657.9833951851135,0,0,0,
Mafra,1928.594901102977,0,0,0,
Odivelas,1469.200212442851,1505.149631084516,0,0,
Oeiras,2630.167109614861,0,0,0,
Sintra,1366.993455639531,1157.9729137138647,1154.968954697749,0,
VilaFrancaDeXira,0,0,0,0,
Alcochete,0,0,0,0,
Almada,1634.5131102806663,2244.9489307389085,0,0,
Barreiro,991.1461070563504,0,0,0,
Moita,0,0,0,0,
Montijo,1204.5995346314721,0,0,0,
Palmela,0,0,0,0,
Seixal,2006.4337355518128,0,0,0,
Sesimbra,0,0,0,0,
Setubal,0,0,0,0,
