-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1781,1940,1962,2025,2064,2155,2145,2242,2342,2329,2419,2459,
Cascais,2552,2968,3100,3255,3289,3380,3402,3399,3595,3566,3688,3738,
Lisboa,3142,3799,3997,4001,4248,4072,4086,4290,4516,4631,4799,5176,
Loures,1861,2075,2180,2112,2222,2246,2306,2410,2449,2547,2641,2689,
Mafra,1581,1822,1730,1881,1876,1958,2297,2198,2178,2321,2201,2272,
Odivelas,2061,2182,2315,2417,2403,2411,2441,2548,2449,2614,2896,3146,
Oeiras,2485,2718,2800,2918,2950,2903,2951,3091,3177,3200,3260,3234,
Sintra,1455,1532,1537,1673,1764,1838,1855,2002,2153,2271,2395,2434,
VilaFrancaDeXira,1492,1431,1582,1592,1705,1701,1727,1449,1631,1747,1757,1751,
Alcochete,1566,1771,2040,2103,2310,2173,1892,2364,2192,2679,2303,2631,
Almada,1815,1878,2018,2041,2071,2133,2162,2315,2347,2329,2271,2391,
Barreiro,1194,1389,1308,1338,1254,1250,1396,1447,1667,1189,1676,1206,
Moita,1109,1253,1297,1181,1296,1243,1333,1487,1310,1405,1615,1568,
Montijo,1356,1417,1625,1620,2123,1644,1908,1806,2105,2218,2252,2035,
Palmela,1164,1114,1469,1641,1705,1405,1604,1401,1984,2028,1992,1955,
Seixal,1454,1561,1632,1807,1796,1845,2023,2005,2058,2091,2232,2559,
Sesimbra,1408,1661,1602,1673,1418,1671,1776,1683,1809,1416,2202,2230,
Setubal,1344,1156,1427,1604,1553,1578,1450,1621,1641,1963,1808,1651,
