-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,965,90,17,7,19,13,7,13,5,7,18,13,
Cascais,678,85,34,21,23,13,10,19,6,9,20,17,
Lisboa,1948,148,64,72,56,61,44,39,36,25,31,29,
Loures,835,92,31,8,10,10,10,21,6,8,6,7,
Mafra,240,29,11,4,7,3,2,4,3,3,4,4,
Odivelas,525,80,23,10,16,10,18,27,13,10,10,5,
Oeiras,626,71,21,11,11,9,12,8,3,5,9,4,
Sintra,1547,158,22,13,16,22,31,14,14,14,22,8,
VilaFrancaDeXira,501,56,18,7,9,19,5,5,9,3,2,7,
Alcochete,54,9,1,2,2,0,2,1,0,0,0,0,
Almada,830,80,24,8,21,10,15,10,8,10,10,6,
Barreiro,439,27,12,3,1,10,5,6,7,8,7,3,
Moita,370,18,6,1,4,1,10,1,5,0,4,3,
Montijo,239,26,7,6,2,7,1,4,0,0,7,1,
Palmela,174,18,6,6,3,1,1,1,1,2,3,2,
Seixal,483,39,23,2,3,6,5,10,15,3,7,5,
Sesimbra,125,15,0,0,1,4,0,1,0,0,0,2,
Setubal,529,60,5,5,4,3,10,5,6,12,3,4,
