-,2021,2022,2023,
Amadora,17140,826,683,
Cascais,12994,1033,826,
Lisboa,35455,3177,1922,
Loures,15345,810,429,
Mafra,4511,254,222,
Odivelas,10135,1128,604,
Oeiras,11580,635,334,
Sintra,27640,1318,921,
VilaFrancaDeXira,9245,604,334,
Alcochete,1048,79,0,
Almada,14964,890,540,
Barreiro,7641,349,397,
Moita,6275,254,191,
Montijo,4416,222,127,
Palmela,3241,95,127,
Seixal,8689,381,477,
Sesimbra,2224,95,32,
Setubal,9515,349,397,
