-;2021Q1;
Amadora;1409.1677266475558;
Cascais;3430.8331022977186;
Lisboa;4446.598794380006;
Loures;1819.5628335431466;
Mafra;1931.0463619136683;
Odivelas;1975.7956173568011;
Oeiras;1816.3252928387622;
Sintra;1410.1550389170113;
VilaFrancaDeXira;1907.2331816372312;
Alcochete;1111.860420828763;
Almada;1315.9401733268173;
Barreiro;908.7241761286656;
Moita;975.4100395965618;
Montijo;1071.5307942961913;
Palmela;879.3240822933478;
Seixal;1140.95549001008;
Sesimbra;1349.5707043375505;
Setubal;1259.6504724518231;
