-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,66,45,27,20,13,11,10,10,19,10,10,12,
Cascais,47,14,12,5,8,13,13,9,11,2,10,6,
Lisboa,149,86,40,26,19,10,13,13,7,3,9,5,
Loures,67,31,19,14,11,8,14,10,6,4,7,7,
Mafra,28,15,3,3,3,1,2,3,5,1,2,1,
Odivelas,45,25,16,9,13,14,12,15,9,14,5,6,
Oeiras,42,23,19,22,14,7,4,5,0,2,2,3,
Sintra,152,71,34,34,21,17,24,14,10,9,12,9,
VilaFrancaDeXira,53,27,16,6,8,13,7,4,2,5,3,4,
Alcochete,2,2,2,1,1,2,3,2,0,0,2,0,
Almada,73,39,26,19,13,17,11,13,4,7,11,7,
Barreiro,39,18,8,8,4,2,7,3,1,3,5,3,
Moita,34,6,5,3,2,7,1,3,1,4,5,0,
Montijo,24,13,5,5,7,4,5,2,1,2,1,1,
Palmela,20,16,9,3,3,3,5,1,0,0,0,1,
Seixal,53,21,9,12,10,5,7,6,7,3,4,4,
Sesimbra,15,7,0,1,1,2,0,0,1,1,0,2,
Setubal,42,23,13,7,6,6,4,7,2,2,6,3,
