-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.26251479112016,7.220564010353365,6.026232657738731,8.849784497295754,7.4878244403164,8.866210094296886,
Cascais,10.111845648950776,8.79602963009535,10.00274452132116,13.62518417288494,11.609049021157338,12.177381494729058,
Lisboa,12.5439049130877,11.442797873057565,12.298025222575985,11.498024194330055,15.675448865670788,15.763513927610237,
Loures,7.852200450777911,6.108656622527925,5.001771467836768,6.427570734216837,4.952793356554076,6.241759573233104,
Mafra,7.4464998991314815,4.433983533292061,5.652934851884034,4.567067359600725,8.009234938598304,9.416014140293818,
Odivelas,8.261360643453296,6.720895448334898,6.374935473423344,7.248685238542018,7.613190180068152,6.090483838225858,
Oeiras,10.356974753047869,8.608700845541687,7.682944491492128,10.54525850604419,8.917079126471599,7.709095799168091,
Sintra,7.650031545290115,5.654325414307616,4.717045945370557,4.9827088516938955,6.599703239279292,8.517762627126768,
VilaFrancaDeXira,7.286842439752689,4.7926720030455705,4.3323834055337125,4.135968467820977,4.227734590434447,5.176650144230593,
Alcochete,5.692324903788386,5.641084147529582,4.468950315739724,5.261639697944482,0,5.597020980964439,
Almada,8.95244764637369,7.7722398320698725,6.0983606652367754,7.082670862234661,5.734917214824572,5.953692028633929,
Barreiro,6.3441278606114935,5.929347422707451,4.286643030007229,7.559947393481938,7.792899030837104,7.028616886261387,
Moita,6.2158669649655245,5.1562381559868635,3.6346729698516596,6.02435749185975,6.928587261403227,7.044035021563852,
Montijo,6.14292113001152,4.631186908700767,4.189708285890804,6.996860861617919,6.378290343669116,7.027981012898081,
Palmela,5.698218267415121,5.579679064991579,3.891017357140324,4.231383925594449,0,9.073537088563064,
Seixal,7.069524689581621,5.111197965446906,5.505668346976316,7.50335499758248,7.58770783813722,7.987750312266993,
Sesimbra,5.823579603541738,3.349634256964423,3.634491462643815,0,7.609379427531116,8.467008022871045,
Setubal,6.603816793488829,6.036362686295721,4.848319268441422,5.596157969168087,4.895603108235687,7.520981884262095,
