-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1841,1954,2137,2079,1756,1672,2094,2079,2012,2051,2216,2002,
Cascais,2705,2422,2899,3184,2919,2251,2993,3071,2548,2465,2825,2449,
Lisboa,3452,3547,3568,3479,3644,3783,3690,3405,3983,4166,3751,3345,
Loures,1869,2090,1592,1755,1521,2055,1911,2303,2080,2277,1801,1870,
Mafra,1580,1795,2297,1346,2152,2237,2269,2546,2649,2010,2527,2267,
Odivelas,1986,2122,2104,2175,2285,2067,2158,2350,2221,2240,2339,2197,
Oeiras,2387,2455,2549,2598,2457,2716,2744,2781,2721,2873,2855,2422,
Sintra,1455,1577,1513,1309,1514,1630,1574,1758,1858,1787,1771,1907,
VilaFrancaDeXira,1524,1632,1582,1227,1549,1517,1627,1753,1717,1563,1795,1576,
Alcochete,1186,1581,1239,1658,1896,2591,1644,2248,2462,2277,1854,2310,
Almada,1895,2121,1981,2012,2126,2430,2112,2227,2217,2318,2324,2522,
Barreiro,1309,1027,1556,1161,1105,1476,2069,1209,1684,1718,1878,1771,
Moita,907,942,782,1027,914,1206,1123,0,1155,1306,1535,1180,
Montijo,1282,1255,1456,1817,1707,1731,1900,2237,1879,2767,1819,1737,
Palmela,1156,1133,1373,1297,1521,2064,2405,1795,1494,2018,1541,2258,
Seixal,1434,1576,1473,1633,1903,1873,2350,2168,2040,2245,2265,2307,
Sesimbra,1443,1262,1640,1304,1890,1608,1505,2656,2046,1946,2461,1732,
Setubal,1375,1508,1417,1286,1915,1741,1694,1803,1614,1815,1354,1982,
