-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,
Supply in Oeiras for houses Smaller than 50m2,20.0,29.0,34.0,33.0,33.0,37.0,33.0,30.0,29.0,24.0,24.0,16.0,13.0,7.0,7.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Demand in Oeiras for houses Smaller than 50m2,26.0,17.0,26.0,22.0,23.0,43.0,29.0,37.0,43.0,49.0,45.0,63.0,61.0,67.0,75.0,73.0,76.0,111.0,117.0,118.0,120.0,133.0,148.0,147.0,162.0,176.0,166.0,190.0,203.0,214.0,213.0,245.0,274.0,280.0,271.0,272.0,328.0,324.0,339.0,343.0,380.0,398.0,394.0,422.0,411.0,422.0,456.0,441.0,525.0,550.0,544.0,592.0,577.0,606.0,611.0,619.0,583.0,629.0,654.0,622.0,675.0,642.0,677.0,671.0,671.0,713.0,723.0,703.0,682.0,739.0,791.0,747.0,799.0,779.0,837.0,795.0,860.0,846.0,824.0,842.0,827.0,851.0,884.0,902.0,899.0,942.0,963.0,933.0,936.0,917.0,971.0,959.0,960.0,972.0,999.0,987.0,
