-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,
Supply in Oeiras,105.0,97.0,87.0,86.0,76.0,76.0,82.0,66.0,59.0,68.0,67.0,88.0,67.0,66.0,68.0,62.0,61.0,81.0,47.0,68.0,56.0,53.0,48.0,63.0,62.0,48.0,59.0,60.0,57.0,54.0,49.0,43.0,64.0,53.0,42.0,50.0,63.0,57.0,40.0,72.0,60.0,66.0,53.0,78.0,55.0,61.0,69.0,65.0,78.0,68.0,65.0,77.0,83.0,77.0,72.0,63.0,57.0,66.0,68.0,59.0,65.0,74.0,79.0,77.0,83.0,98.0,95.0,134.0,114.0,121.0,122.0,163.0,162.0,170.0,172.0,219.0,227.0,233.0,251.0,271.0,297.0,284.0,323.0,362.0,364.0,375.0,400.0,394.0,416.0,447.0,446.0,470.0,524.0,538.0,553.0,547.0,
Demand in Oeiras,5805.0,5748.0,5738.0,5752.0,5808.0,5851.0,5875.0,5910.0,5934.0,6017.0,6057.0,6101.0,6113.0,6146.0,6236.0,6290.0,6308.0,6380.0,6388.0,6464.0,6509.0,6562.0,6624.0,6700.0,6706.0,6731.0,6775.0,6813.0,6871.0,6911.0,6986.0,7030.0,7123.0,7159.0,7209.0,7302.0,7338.0,7390.0,7406.0,7460.0,7484.0,7560.0,7567.0,7655.0,7718.0,7769.0,7842.0,7880.0,7895.0,7911.0,7935.0,7920.0,7950.0,7975.0,7971.0,7989.0,8026.0,8070.0,8065.0,8118.0,8149.0,8173.0,8232.0,8274.0,8325.0,8366.0,8357.0,8427.0,8389.0,8452.0,8424.0,8491.0,8493.0,8525.0,8506.0,8541.0,8578.0,8597.0,8650.0,8655.0,8669.0,8680.0,8716.0,8752.0,8764.0,8781.0,8793.0,8801.0,8773.0,8788.0,8758.0,8764.0,8791.0,8822.0,8828.0,8844.0,
