-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,
Supply in Oeiras,171.0,195.0,205.0,208.0,189.0,212.0,195.0,198.0,185.0,168.0,177.0,177.0,144.0,143.0,135.0,133.0,106.0,102.0,80.0,106.0,83.0,68.0,78.0,93.0,98.0,70.0,83.0,99.0,101.0,93.0,60.0,76.0,94.0,79.0,82.0,90.0,103.0,101.0,69.0,92.0,103.0,84.0,87.0,90.0,91.0,121.0,100.0,114.0,101.0,95.0,93.0,98.0,92.0,112.0,108.0,101.0,91.0,89.0,97.0,88.0,94.0,101.0,101.0,103.0,130.0,108.0,114.0,113.0,98.0,91.0,90.0,124.0,113.0,115.0,127.0,141.0,109.0,90.0,131.0,130.0,103.0,93.0,119.0,107.0,116.0,114.0,105.0,117.0,118.0,160.0,137.0,118.0,124.0,116.0,107.0,146.0,
Demand in Oeiras,815.0,842.0,943.0,927.0,936.0,1007.0,987.0,1061.0,1046.0,1078.0,1127.0,1115.0,1230.0,1240.0,1303.0,1282.0,1310.0,1334.0,1388.0,1444.0,1443.0,1518.0,1544.0,1611.0,1325.0,1412.0,1335.0,1451.0,1435.0,1436.0,1462.0,1554.0,1595.0,1566.0,1590.0,1594.0,1820.0,1755.0,1823.0,1909.0,1930.0,2021.0,2010.0,2129.0,2103.0,2042.0,2185.0,2227.0,2527.0,2574.0,2608.0,2560.0,2699.0,2713.0,2742.0,2712.0,2727.0,2806.0,2800.0,2812.0,2885.0,2923.0,2977.0,3015.0,2994.0,3087.0,3028.0,3106.0,3036.0,3176.0,3156.0,3206.0,3353.0,3302.0,3289.0,3317.0,3358.0,3316.0,3479.0,3457.0,3424.0,3472.0,3485.0,3546.0,3632.0,3706.0,3730.0,3679.0,3700.0,3787.0,3809.0,3706.0,3785.0,3769.0,3790.0,3810.0,
