-,2021,2022,2023,
Amadora,12517,6004,2001,
Cascais,12470,3638,1461,
Lisboa,26480,6163,2700,
Loures,13582,5798,1588,
Mafra,3717,1652,461,
Odivelas,8927,4257,1382,
Oeiras,10071,3669,826,
Sintra,19904,8355,2732,
VilaFrancaDeXira,7259,2700,794,
Alcochete,969,397,111,
Almada,11437,4893,1620,
Barreiro,5528,1747,461,
Moita,3542,1493,588,
Montijo,2796,1048,365,
Palmela,2748,985,365,
Seixal,7069,3161,1287,
Sesimbra,2113,826,238,
Setubal,6163,2637,1160,
