-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,227,347,159,55,25,28,51,274,36,27,27,36,
Cascais,203,338,158,86,22,31,46,130,21,37,25,9,
Lisboa,609,568,165,325,155,91,37,105,47,54,33,36,
Loures,207,437,123,88,34,26,47,258,23,18,30,29,
Mafra,82,58,40,54,22,16,17,49,6,9,9,5,
Odivelas,168,227,86,81,36,26,49,157,17,21,21,28,
Oeiras,176,272,110,76,18,22,29,162,18,16,11,7,
Sintra,366,412,210,265,84,33,79,330,53,38,53,28,
VilaFrancaDeXira,123,137,84,113,31,12,29,98,19,10,16,5,
Alcochete,25,15,12,9,7,3,8,7,2,4,0,1,
Almada,243,324,111,42,25,26,58,199,25,23,30,24,
Barreiro,92,160,52,44,14,14,23,59,6,7,13,3,
Moita,62,98,32,31,10,12,14,58,8,9,11,9,
Montijo,66,54,26,30,8,8,14,36,8,5,5,5,
Palmela,69,33,30,41,13,14,17,18,7,6,3,7,
Seixal,163,109,86,87,40,13,33,113,23,23,19,16,
Sesimbra,49,33,14,37,10,12,12,18,7,1,5,2,
Setubal,137,123,50,78,28,10,28,100,21,16,20,16,
