-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1940,2543,2231,2312,2253,2402,2593,2833,2244,2728,2716,2079,
Cascais,2678,2223,2927,3049,2917,2944,2934,2851,2814,2738,3149,3325,
Lisboa,3325,3861,4303,4498,3955,3773,4226,4078,3695,3945,3926,4822,
Loures,2018,2560,2598,2654,2480,2484,1956,2283,2199,2152,2330,2291,
Mafra,1712,2176,2283,2265,2440,2251,2551,2629,2594,2527,1813,2727,
Odivelas,2166,2543,2578,2494,2579,2523,2259,2381,2302,2038,2166,2584,
Oeiras,2617,2673,3080,3057,2806,2501,2822,3669,2658,2581,3352,3786,
Sintra,1644,2086,2113,2200,1600,1872,2196,1750,1935,2529,2127,2240,
VilaFrancaDeXira,1607,1434,1875,2129,2369,2163,2329,1818,2364,1796,1461,1935,
Alcochete,1471,2110,2282,2775,2071,2028,1623,2047,1368,2498,1426,2685,
Almada,1939,2494,2556,2699,2729,2187,2194,2503,2502,2927,2925,2782,
Barreiro,1092,1270,1442,1111,1329,1539,1862,1292,2291,1469,1164,1902,
Moita,961,1359,1279,1237,1148,1437,1261,1257,1440,1813,1962,1468,
Montijo,1470,1821,1459,1475,1937,1710,2186,2860,2106,2307,2120,2256,
Palmela,1303,1250,832,1788,2268,1359,2468,2289,2755,1650,2279,1744,
Seixal,1659,1891,2187,2378,2356,2091,2344,2465,2574,1791,2609,2627,
Sesimbra,1516,1737,1272,1219,1607,2086,2558,2120,2059,2154,2118,1796,
Setubal,1425,1686,2017,1876,2469,1993,1502,2468,2000,1682,1957,1647,
