-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,414,114,58,49,37,24,25,28,24,16,26,15,
Cascais,307,88,56,28,34,37,22,16,17,18,11,9,
Lisboa,1078,204,95,104,81,63,60,38,48,30,20,36,
Loures,390,128,51,42,25,25,21,17,17,14,11,14,
Mafra,120,33,18,14,15,7,2,6,4,4,2,0,
Odivelas,240,78,38,26,29,18,20,13,9,15,13,13,
Oeiras,326,83,42,36,29,14,18,12,10,12,14,7,
Sintra,705,169,91,62,42,52,45,39,20,22,20,24,
VilaFrancaDeXira,220,61,42,34,28,13,16,11,11,15,8,8,
Alcochete,22,8,8,4,2,1,3,1,3,1,2,0,
Almada,376,106,51,31,25,15,22,16,16,14,22,24,
Barreiro,149,35,24,26,22,18,17,14,9,8,13,2,
Moita,100,34,26,9,15,14,12,6,7,6,6,5,
Montijo,108,34,12,14,10,11,3,3,4,7,8,4,
Palmela,86,24,15,12,11,5,2,1,2,1,6,2,
Seixal,204,78,38,18,22,14,11,11,12,7,21,14,
Sesimbra,58,15,7,7,6,3,8,2,3,4,2,1,
Setubal,249,66,25,19,21,6,8,16,16,13,12,13,
